X,Y,OBJECTID,NAME,LOCATION,CITY,PUBLIC_OWN,DEDICATED,CONTRACT,TOTAL_AUTO_SPACES,COVERED_SPACES,TOTAL_BIKE_SPACES,BIKE_LOCKERS,BIKE_RACKS,ROUTE_1,ROUTE_2,ROUTE_3,ROUTE_4,ROUTE_5,ROUTE_6,ROUTE_7,ROUTE_8,Long,Lat,Address
-111.917697455838,33.4155208512493,26,Apache & Dorsey Park-and-Ride,Apache Blvd and Dorsey Ln,Tempe,Yes,Yes,No,190,0,6,0,6,Light Rail,NA,NA,NA,NA,NA,NA,NA,-111.91769746,33.41552085,1215 S Dorsey Lane
-111.908585502074,33.4138958831278,27,McClintock Dr. & Apache Blvd. Park-and-Ride,McClintock Dr and Apache Blvd,Tempe,Yes,Yes,No,300,249,24,0,24,Light Rail,81,NA,NA,NA,NA,NA,NA,-111.9085855,33.41389588,1811 E Apache Blvd
-111.88968471565,33.4138825730204,28,Price-101 Fwy/Apache Blvd Park-and-Ride,Loop 101 and Apache Blvd,Tempe,Yes,Yes,No,693,0,6,0,6,Light Rail,40,NA,NA,NA,NA,NA,NA,-111.88968472,33.41388257,2235 E Apache Blvd
-112.09867746891,33.5187166317478,29,19th Ave and Montebello Park-and-Ride,Montebello Ave and 19th Ave,Phoenix,Yes,Yes,No,794,0,8,0,8,Light Rail,15,19,60,NA,NA,NA,NA,-112.09867747,33.51871663,1825 W Montebello Ave
-112.098718887089,33.50905241153,30,19th Ave and Camelback Park-and-Ride,19th Ave and Camelback Rd,Phoenix,Yes,Yes,No,410,287,1,0,1,Light Rail,19,50,NA,NA,NA,NA,NA,-112.09871889,33.50905241,1827 W Camelback Rd
-111.999390540938,33.4487037753055,31,Washington & 38th St Park-and-Ride,Washington St and 38th St,Phoenix,Yes,Yes,No,190,0,2,0,2,Light Rail,1,32,NA,NA,NA,NA,NA,-111.99939054,33.44870378,3763 E Washington St
-112.078120008972,33.5089504241534,32,Central & Camelback Park-and-Ride,Central Ave and Camelback Rd,Phoenix,Yes,Yes,No,135,114,4,0,4,Light Rail,0,50,NA,NA,NA,NA,NA,-112.07812001,33.50895042,169 W Camelback Rd
-112.120167278154,33.7103958052084,33,Happy Valley Rd Park-and-Ride,Happy Valley Rd and 29th Ave,Phoenix,Yes,Yes,No,512,512,7,4,3,I-17 Rapid,35,NA,NA,NA,NA,NA,NA,-112.12016728,33.71039581,24725 N 29th Ave
-112.080634810037,33.5089878931534,34,7th Ave & Camelback Rd Park-and-Ride,7th Ave and Camelback Rd,Phoenix,Yes,Yes,No,123,77,4,0,4,Light Rail,8,50,NA,NA,NA,NA,NA,-112.08063481,33.50898789,519 W Camelback Rd
-112.11709359904,33.3771529791949,35,27th Ave & Baseline Park-and-Ride,27th Ave and Baseline Rd,Phoenix,Yes,Yes,No,212,212,8,8,0,19,35,77,25SMW RAPID,NA,NA,NA,NA,-112.1170936,33.37715298,7610 S 27th Ave
