X,Y,OBJECTID,StopID,NextRide,Location,Juris,Shelter,Bench,TrashCan,BusBay,BikeRack,WaterFountain,PublicArt,ADA,Bathroom,Lighting,Em_Call,Info_Display,Type_,DateUpdated,Sidewalk,Photo,ATIS_ID,Direction,Long,Lat,Routes
-111.801074954184,33.45080735204,29,7619,16105,JUNE ST & LAZONA DR,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1541147907453,Yes,https://farm8.staticflickr.com/7421/16497670925_466073abbb_o.jpg,7633,Westbound,-111.801074954184,33.45080735204,128
-111.802802597242,33.4491701212933,30,5710,16106,LAZONA DR & STAPLEY DR,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1541147907453,Yes,https://farm9.staticflickr.com/8656/15875115474_e3e3cc1f9b_o.jpg,5724,Westbound,-111.802802597242,33.4491701212933,128
-111.805118572112,33.4477097090088,31,4798,16107,STAPLEY DR & JENSEN ST,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1541147907453,Yes,https://farm9.staticflickr.com/8608/16471658416_ca1de5b5dc_o.jpg,4812,Southbound,-111.805118572112,33.4477097090088,128
-111.80522083043,33.4441285372074,32,4791,16108,STAPLEY DR & MCLELLAN RD,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1541147907453,Yes,https://farm8.staticflickr.com/7311/16495941071_a540bfff26_o.jpg,4805,Southbound,-111.80522083043,33.4441285372074,128
-111.80529112037,33.4410894137516,33,4797,16109,STAPLEY DR & HALIFAX ST,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1541147907453,Yes,https://farm9.staticflickr.com/8568/16311405119_cda7288917_o.jpg,4811,Southbound,-111.80529112037,33.4410894137516,128
-111.805417338394,33.4366314830577,34,4795,16110,STAPLEY DR & BROWN RD,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1541147907453,Yes,https://farm8.staticflickr.com/7417/15875096534_dbfe16eafe_o.jpg,4809,Southbound,-111.805417338394,33.4366314830577,128
-111.805411958697,33.433809893361,35,4796,16111,STAPLEY DR & FAIRFIELD ST,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1541147907453,Yes,https://farm8.staticflickr.com/7362/15875119204_ff93fbcc86_o.jpg,4810,Southbound,-111.805411958697,33.433809893361,128
-111.805406249358,33.4300153093271,36,4794,16112,STAPLEY DR & 8TH PL,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1541147907453,Yes,https://farm9.staticflickr.com/8563/15875119274_22de6af036_o.jpg,4808,Southbound,-111.805406249358,33.4300153093271,128
-111.805417707419,33.4254549755571,37,4793,16113,STAPLEY DR & 6TH ST,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1541147907453,Yes,https://farm8.staticflickr.com/7360/16310242930_e837c05a56_o.jpg,4807,Southbound,-111.805417707419,33.4254549755571,128
-111.805414606689,33.422136200592,38,4799,16114,STAPLEY DR & UNIVERSITY DR,Mesa,1,2,0,No,2,No,No,Yes,No,No,No,No,Standard,1541147907453,Yes,https://farm8.staticflickr.com/7444/16471658406_589de2ccd2_o.jpg,4813,Southbound,-111.805414606689,33.422136200592,128
-111.80542148907,33.4186340916769,39,4792,16889,STAPLEY DR & 2ND ST,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1541147907453,Yes,https://farm8.staticflickr.com/7399/16495941031_f7a4f2f790_o.jpg,4806,Southbound,-111.80542148907,33.4186340916769,128
-111.805436900532,33.4147572627346,40,5303,16116,STAPLEY DR & MAIN ST,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1541147907453,No,https://farm8.staticflickr.com/7287/15875116814_b2aa09b5d3_o.jpg,5317,Southbound,-111.805436900532,33.4147572627346,128
-111.805412163397,33.4108651078293,41,5296,16117,STAPLEY DR & JARVIS AVE,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1541147907453,Yes,https://farm9.staticflickr.com/8566/16497677355_d3beed5f63_o.jpg,5310,Southbound,-111.805412163397,33.4108651078293,128
-111.805462187148,33.4075185072117,42,5299,16118,STAPLEY DR & BROADWAY RD,Mesa,1,1,1,No,2,No,No,Yes,No,No,No,No,Standard,1541147907453,Yes,https://farm9.staticflickr.com/8588/16311748167_e65abd620d_o.jpg,5313,Southbound,-111.805462187148,33.4075185072117,128
-111.80548580051,33.4038907114484,43,5297,16119,STAPLEY DR & 6TH AVE,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1541147907453,Yes,https://farm8.staticflickr.com/7454/16310240830_6dd7f8ea58_o.jpg,5311,Southbound,-111.80548580051,33.4038907114484,128
-111.805498007983,33.4003055379151,44,5298,16120,STAPLEY DR & 8TH AVE,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1541147907453,Yes,https://farm8.staticflickr.com/7282/16309949028_47f6d61882_o.jpg,5312,Southbound,-111.805498007983,33.4003055379151,128
