OBJECTID,StopID,NextRide,Location,Juris,Photo,Routes,Day_Category,Q2016_2,Q2016_3,Q2016_4,Q2017_1,Q2017_2,Q2017_3,Q2017_4,Q2018_12,Q2018_2,Q2018_3,Q42018,Q2019_1,Q2019_2
6592,5428,13246,BROADWAY RD & 22ND ST,Phoenix,,45,Weekend,7,7,7,9,7,11,9,16,10,13,10,11,11
6593,5429,13245,BROADWAY RD & 24TH ST,Phoenix,,45,Weekend,11,10,10,11,10,13,16,19,13,13,12,13,13
6594,5431,13244,BROADWAY RD & 25TH ST,Phoenix,,45,Weekend,5,5,4,4,2,9,9,7,3,4,4,3,4
6595,5432,13243,BROADWAY RD & 27TH ST,Phoenix,,45,Weekend,6,5,5,8,6,8,8,13,6,8,7,9,9
6596,5433,13242,BROADWAY RD & 28TH ST,Phoenix,,45,Weekend,14,14,13,15,15,22,25,29,15,17,20,22,22
6597,5434,13241,BROADWAY RD & 30TH ST,Phoenix,,45,Weekend,2,2,2,2,1,2,2,4,2,2,1,1,1
6598,5436,13240,BROADWAY RD & 32ND ST,Phoenix,,45,Weekend,22,21,20,29,24,32,37,49,27,27,33,30,27
6599,5437,13239,BROADWAY RD & 34TH ST,Phoenix,,45,Weekend,1,1,1,1,1,1,1,1,1,1,0,0,1
6600,5438,13238,BROADWAY RD & 36TH ST,Phoenix,,45,Weekend,1,1,1,2,1,1,2,3,3,2,2,2,2
6601,5439,13237,BROADWAY RD & 38TH ST,Phoenix,,45,Weekend,1,1,1,1,0,1,1,1,0,0,0,0,0
6602,5440,13236,BROADWAY RD & 40TH ST,Phoenix,,45,Weekend,4,4,4,7,7,12,13,17,8,11,14,11,13
6603,5441,13235,BROADWAY RD & 41ST ST,Phoenix,,45,Weekend,1,1,1,3,5,10,14,16,4,3,2,2,1
6604,5442,13234,BROADWAY RD & 43RD PL,Phoenix,,45,Weekend,2,2,2,2,0,1,2,2,1,1,1,1,1
6605,5443,13232,BROADWAY RD & 46TH PL,Phoenix,,45,Weekend,3,3,2,4,2,4,5,9,4,3,4,3,4
6606,5444,13231,BROADWAY RD & 48TH ST,Phoenix,,45,Weekend,17,17,16,22,17,28,27,41,23,27,32,27,29
6607,5446,10477,BROADWAY RD & 4TH ST,Phoenix,,45 | 7,Weekend,5,4,4,3,2,5,5,7,2,5,3,2,2
6608,5449,15173,BROADWAY RD & 7TH ST,Phoenix,,45 | 7,Weekend,13,13,12,18,12,19,19,25,16,26,14,14,19
6609,5450,13252,BROADWAY RD & 9TH ST,Phoenix,,45,Weekend,2,2,2,1,1,3,3,3,1,1,1,2,1
6610,5484,13233,BROADWAY RD -- 45TH ST & 44TH PL,Phoenix,,45,Weekend,6,6,5,8,5,7,8,16,8,8,8,7,8
6611,5507,15450,BUCKEYE RD & 10TH ST,Phoenix,,13,Weekend,0,0,0,,,1,1,1,0,0,0,0,0
6612,5508,11017,BUCKEYE RD & 13TH ST,Phoenix,,13,Weekend,3,3,3,5,4,6,6,11,6,7,6,9,9
6613,5509,11016,BUCKEYE RD & 14TH ST,Phoenix,,13,Weekend,0,0,0,1,1,2,1,2,1,1,1,1,1
6614,5510,11015,BUCKEYE RD & 16TH ST,Phoenix,,13,Weekend,12,12,11,20,15,22,29,47,28,28,33,26,26
6615,5511,11012,BUCKEYE RD & 24TH ST,Phoenix,,13,Weekend,13,12,11,24,15,20,32,41,23,25,26,24,24
6616,5513,10762,BUCKEYE RD & 7TH ST,Phoenix,,13,Weekend,7,7,6,13,11,15,21,31,21,21,19,14,18
6617,5516,11014,BUCKEYE RD & SKY HARBOR CIR,Phoenix,,13,Weekend,2,2,2,4,3,3,4,6,2,5,4,5,5
6618,5517,11018,BUCKEYE RD & 11TH ST,Phoenix,,13,Weekend,2,1,1,3,1,2,3,6,2,2,2,2,2
6619,5518,11011,BUCKEYE RD & 27TH ST,Phoenix,,13,Weekend,0,0,0,0,0,1,1,0,0,2,0,1,0
6620,5520,11021,BUCKEYE RD & 4TH ST,Phoenix,,13,Weekend,0,0,0,1,0,1,1,4,1,1,1,0,1
6621,5521,11013,BUCKEYE RD & SKY HARBOR CIR,Phoenix,,13,Weekend,2,2,1,2,1,3,4,3,2,2,1,1,2
6622,5523,15711,CACTUS RD & 24TH ST,Phoenix,,138,Weekend,2,1,1,1,1,4,4,4,2,2,1,1,1
6623,5524,15710,CACTUS RD & 27TH ST,Phoenix,,138,Weekend,2,2,2,3,2,5,5,5,3,4,4,4,3
6624,5525,15709,CACTUS RD & 28TH ST,Phoenix,,138,Weekend,3,2,2,3,1,3,2,4,2,1,1,2,1
6625,5526,15708,CACTUS RD & 30TH ST,Phoenix,,138,Weekend,1,1,1,1,1,1,1,3,1,1,1,1,1
6626,5527,15707,CACTUS RD & 32ND ST,Phoenix,,138,Weekend,15,14,13,20,16,25,29,36,22,23,28,27,24
6627,5528,15706,CACTUS RD & 36TH ST,Phoenix,,138,Weekend,4,4,4,5,3,8,7,10,4,4,4,3,3
6628,5529,15705,CACTUS RD & 38TH ST,Phoenix,,138,Weekend,1,1,1,1,0,3,3,3,1,1,1,0,0
6629,5530,15704,CACTUS RD & 40TH ST,Phoenix,,138,Weekend,2,2,2,2,2,4,4,4,2,3,3,2,4
6630,5531,18075,CACTUS RD & 42ND ST,Phoenix,,138,Weekend,1,1,1,3,1,2,3,3,3,3,3,3,3
6631,5536,16333,CACTUS RD & ESCOBAR WY,Phoenix,,138,Weekend,2,2,2,1,1,2,2,2,2,4,4,4,3
6632,5537,15702,CACTUS RD & PARADISE VILLAGE PKWY,Phoenix,,138,Weekend,28,27,25,34,21,35,42,52,28,33,42,34,32
6633,5539,12500,CAMELBACK RD & 14TH PL,Phoenix,,50,Weekend,5,4,4,4,2,8,7,7,4,3,3,2,3
6634,2026,11570,19TH AVE & MOHAWK LN,Phoenix,,19,Weekend,1,1,1,1,1,1,1,1,1,1,1,1,1
6635,2027,11528,19TH AVE & MONTE VISTA RD,Phoenix,,19,Weekend,8,7,7,8,5,59,46,15,7,9,29,12,7
6636,2028,10672,19TH AVE & MONTEBELLO AVE,Phoenix,,19,Weekend,83,80,74,55,46,86,96,105,52,118,80,57,61
6637,2029,11085,19TH AVE & MYRTLE AVE,Phoenix,,19,Weekend,5,5,4,6,3,10,10,11,4,4,6,6,6
6638,2030,11088,19TH AVE & NORTHERN AVE,Phoenix,,19,Weekend,46,44,41,73,55,97,107,130,71,79,84,78,82
6639,2031,11086,19TH AVE & ORANGEWOOD AVE,Phoenix,,19,Weekend,5,5,5,6,2,7,7,8,5,4,6,6,4
6640,2032,11532,19TH AVE & OSBORN RD,Phoenix,,19,Weekend,19,18,17,28,21,32,37,54,30,35,42,33,30
6641,2033,11547,19TH AVE & PEORIA AVE,Phoenix,,122 | 19,Weekend,42,41,38,56,42,82,92,107,62,95,81,74,74
6642,2034,11559,19TH AVE & PHELPS RD,Phoenix,,19,Weekend,11,10,10,10,7,16,18,20,11,13,13,13,15
6643,2035,11571,19TH AVE & ROSE GARDEN LN,Phoenix,,19,Weekend,2,2,2,1,1,4,4,3,1,0,1,1,2
6644,2036,11080,19TH AVE & ROSE LN,Phoenix,,19,Weekend,7,7,7,5,4,12,10,12,6,5,5,5,7
6645,2037,18005,19TH AVE & SUNNYSIDE DR,Phoenix,,122 | 19,Weekend,9,9,8,12,8,22,20,22,14,24,16,15,16
6646,2038,11531,19TH AVE & THOMAS RD,Phoenix,,19,Weekend,41,39,37,58,39,56,79,103,56,64,77,65,64
6647,2039,11554,19TH AVE & THUNDERBIRD RD,Phoenix,,19,Weekend,27,26,25,31,23,39,45,60,32,36,42,37,38
6648,2040,18009,19TH AVE & TIERRA BUENA LN,Phoenix,,19,Weekend,4,4,4,3,2,8,7,6,2,3,2,2,3
6649,2041,11082,19TH AVE & TUCKEY LN,Phoenix,,19,Weekend,5,5,5,7,6,19,19,18,9,11,11,8,8
6650,2042,11565,19TH AVE & UNION HILLS DR,Phoenix,,19,Weekend,11,11,10,14,9,20,21,28,15,18,20,16,21
6651,2043,11567,19TH AVE & UTOPIA RD,Phoenix,,19,Weekend,3,3,3,2,0,4,2,2,1,1,1,1,2
6652,2044,11522,19TH AVE & VAN BUREN ST,Phoenix,,  GAL | 19,Weekend,55,53,50,64,45,82,90,124,76,141,87,75,72
6653,2045,18003,19TH AVE & MOUNTAIN VIEW RD,Phoenix,,122 | 19,Weekend,5,5,4,8,7,8,6,17,13,17,15,14,13
6654,2046,18393,19TH AVE & WESCOTT DR,Phoenix,,19,Weekend,3,3,3,3,0,6,5,4,1,1,1,2,1
6655,2047,11561,19TH AVE -- BELL RD & VILLAGE DR,Phoenix,,19,Weekend,5,4,4,7,4,9,8,10,6,5,6,6,5
6656,2048,11555,19TH AVE -- THUNDERBIRD RD & EVANS DR,Phoenix,,19,Weekend,9,9,8,9,6,12,10,12,7,11,10,8,10
6657,2049,11091,19TH AVE & ALICE AVE,Phoenix,,19,Weekend,4,4,4,4,2,9,10,7,4,5,5,5,4
6658,2052,11543,19TH AVE & SUNNYSLOPE LN,Phoenix,,122 | 19,Weekend,4,4,4,5,5,9,10,14,7,13,7,8,11
6659,2055,11523,19TH AVE & FILLMORE ST,Phoenix,,19,Weekend,3,3,3,5,2,7,7,7,11,4,4,4,4
6660,2056,11552,19TH AVE & SWEETWATER AVE,Phoenix,,19,Weekend,9,8,8,15,11,19,24,28,18,24,23,22,28
6661,2062,11758,23RD AVE & BEARDSLEY RD,Phoenix,,27,Weekend,1,1,1,0,0,0,0,0,0,0,,0,
6662,2064,11757,23RD AVE & MARCO POLO RD,Phoenix,,27,Weekend,3,3,3,0,0,0,0,1,0,,1,1,1
6663,2065,14554,24TH ST & VAN BUREN ST,Phoenix,,70,Weekend,39,37,35,55,44,61,73,99,65,76,68,62,56
6664,2066,12402,24TH ST & MONTEBELLO AVE,Phoenix,,70,Weekend,0,0,0,0,0,0,0,0,0,,0,,
6665,2067,14555,24TH ST & TAYLOR ST,Phoenix,,70,Weekend,8,8,7,11,5,9,12,14,10,9,11,14,17
6666,2069,12399,24TH ST & CAMELBACK RD,Phoenix,,70,Weekend,15,14,13,19,14,22,27,34,19,51,24,24,26
6667,2070,14570,24TH ST & CAMPBELL AVE,Phoenix,,70,Weekend,4,4,3,3,2,5,6,7,4,7,8,5,4
6668,2071,14565,24TH ST & CHEERY LYNN RD,Phoenix,,70,Weekend,2,2,2,3,2,3,3,3,3,0,2,2,2
6669,2073,14567,24TH ST & CLARENDON AVE,Phoenix,,70,Weekend,2,2,1,2,1,2,2,2,2,2,2,2,6
6670,2075,14569,24TH ST & GLENROSA AVE,Phoenix,,70,Weekend,3,3,2,2,2,3,6,6,4,5,6,6,5
6671,2076,14571,24TH ST & HIGHLAND AVE,Phoenix,,70,Weekend,1,1,1,1,1,1,1,0,10,7,2,2,1
6672,2077,14568,24TH ST & INDIAN SCHOOL RD,Phoenix,,70,Weekend,15,15,14,16,12,23,25,32,19,21,20,19,25
6673,2078,14559,24TH ST & MCDOWELL RD,Phoenix,,70,Weekend,36,34,32,41,31,50,56,76,42,51,52,49,47
6674,2079,12401,24TH ST & MISSOURI AVE,Phoenix,,70,Weekend,1,1,1,1,1,1,2,2,1,1,1,1,1
6675,2081,14561,24TH ST & OAK ST,Phoenix,,70,Weekend,7,7,6,9,8,11,11,16,9,10,14,7,9
6676,2082,14566,24TH ST & OSBORN RD,Phoenix,,70,Weekend,4,4,3,5,2,7,6,6,5,6,8,5,6
6677,2083,14556,24TH ST & PIERCE ST,Phoenix,,70,Weekend,3,3,3,5,3,5,7,7,4,7,7,5,3
6678,2084,14564,24TH ST & PINCHOT AVE,Phoenix,,70,Weekend,3,3,3,4,4,5,7,9,5,5,5,5,3
6679,2085,14557,24TH ST & ROOSEVELT ST,Phoenix,,70,Weekend,36,34,32,46,35,56,62,80,56,51,48,50,49
6680,2088,17462,24TH ST & YALE ST,Phoenix,,70,Weekend,1,1,1,2,2,3,5,4,3,2,3,4,4
6681,2089,12404,24TH ST -- ARIZONA BILTMORE CIR & LINCOLN DR,Phoenix,,70,Weekend,0,0,0,0,0,0,1,1,0,1,1,1,1
6682,2090,12400,24TH ST & COLTER ST,Phoenix,,70,Weekend,0,0,0,1,1,1,1,1,1,0,0,1,1
6683,2091,18016,24TH ST & ARIZONA BILTMORE CIR,Phoenix,,70,Weekend,6,6,6,8,7,12,15,18,9,12,13,9,11
6684,2092,14558,24TH ST & WILLETTA ST,Phoenix,,70,Weekend,2,2,2,3,2,3,3,4,2,4,3,4,3
6685,2093,14560,24TH ST & HUBBELL ST,Phoenix,,70,Weekend,6,6,5,6,5,10,11,12,6,8,8,7,9
6686,2099,11690,27TH AVE & WELDON AVE,Phoenix,,27,Weekend,5,5,5,3,3,7,6,8,4,4,5,6,4
6687,2100,11699,27TH AVE & BETHANY HOME RD,Phoenix,,27,Weekend,48,46,43,59,40,72,71,98,56,70,61,53,46
6688,2101,11695,27TH AVE & CAMELBACK RD,Phoenix,,27,Weekend,66,64,59,82,55,99,114,163,88,105,102,90,68
6689,2102,11693,27TH AVE & CAMPBELL AVE,Phoenix,,27,Weekend,14,13,12,27,18,35,41,44,24,26,28,32,28
6690,2103,11700,27TH AVE & CLAREMONT ST,Phoenix,,27,Weekend,13,13,12,19,13,22,25,34,17,21,18,17,16
6691,2104,11696,27TH AVE & COLTER ST,Phoenix,,27,Weekend,13,12,11,9,9,15,16,17,10,10,10,10,14
6692,2105,11688,27TH AVE & EARLL DR,Phoenix,,27,Weekend,5,5,5,6,3,13,11,12,5,5,6,8,3
6693,2106,11685,27TH AVE & ENCANTO BLVD,Phoenix,,27,Weekend,9,9,8,7,5,9,8,11,7,9,7,5,5
6694,2107,11703,27TH AVE & GLENDALE AVE,Phoenix,,27,Weekend,45,44,41,46,37,59,67,105,52,68,69,57,48
6695,2108,11692,27TH AVE & GLENROSA AVE,Phoenix,,27,Weekend,21,20,19,35,25,44,53,66,38,44,38,43,41
6696,2109,11694,27TH AVE & HIGHLAND AVE,Phoenix,,27,Weekend,8,8,8,9,6,12,13,18,8,7,7,7,7
6697,2110,11691,27TH AVE & INDIAN SCHOOL RD,Phoenix,,27,Weekend,73,71,66,96,70,113,124,173,92,115,108,94,91
6698,2111,11701,27TH AVE & MARYLAND AVE,Phoenix,,27,Weekend,10,10,9,9,9,13,13,16,10,14,13,14,10
6699,2112,11683,27TH AVE & MCDOWELL RD,Phoenix,,27,Weekend,38,37,34,54,37,64,69,107,60,67,66,60,52
6700,2113,11697,27TH AVE & MISSOURI AVE,Phoenix,,27,Weekend,12,11,10,18,14,18,23,35,20,25,24,23,18
6701,2114,11698,27TH AVE & MONTEBELLO AVE,Phoenix,,27,Weekend,5,4,4,5,4,12,13,13,6,4,5,4,4
6702,2115,11704,27TH AVE & MYRTLE AVE,Phoenix,,27,Weekend,8,8,7,9,8,10,11,13,8,8,9,6,5
6703,2116,11707,27TH AVE & NORTHERN AVE,Phoenix,,27,Weekend,27,26,24,30,25,36,42,55,34,41,36,34,34
6704,2117,11705,27TH AVE & ORANGEWOOD AVE,Phoenix,,27,Weekend,8,7,7,10,6,10,18,18,12,16,11,14,11
6705,2118,11689,27TH AVE & OSBORN RD,Phoenix,,27,Weekend,5,4,4,5,4,7,8,12,8,7,8,7,5
6706,2119,11684,27TH AVE & PALM LN,Phoenix,,27,Weekend,3,3,3,2,2,3,2,6,8,4,5,3,3
6707,2120,18147,27TH AVE & THOMAS RD,Phoenix,,27,Weekend,32,31,29,45,30,60,72,86,46,54,56,52,48
6708,2121,11679,27TH AVE & VAN BUREN ST,Phoenix,,27,Weekend,61,59,55,69,52,100,101,145,76,96,82,76,69
6709,2122,11686,27TH AVE & VIRGINIA AVE,Phoenix,,27,Weekend,1,1,1,3,2,3,5,8,4,4,4,4,3
6710,2123,11682,27TH AVE & I-10 FWY,Phoenix,,27,Weekend,2,2,2,1,1,2,2,2,1,1,2,2,1
6711,2124,11678,27TH AVE & ADAMS ST,Phoenix,,27,Weekend,1,1,1,1,1,1,1,2,1,1,1,1,1
6712,2125,18308,27TH AVE & BELMONT AVE,Phoenix,,27,Weekend,6,6,5,5,5,10,9,10,5,6,7,4,5
6713,2126,11680,27TH AVE & FILLMORE ST,Phoenix,,27,Weekend,4,4,4,5,4,6,8,7,4,3,5,4,5
6714,2127,11708,27TH AVE & GRISWOLD RD,Phoenix,,27,Weekend,4,4,4,3,3,6,5,6,3,4,4,4,4
6715,2128,11681,27TH AVE & ROOSEVELT ST,Phoenix,,27,Weekend,5,5,5,12,6,11,10,19,10,11,9,8,8
6716,2129,11702,27TH AVE & OCOTILLO RD,Phoenix,,27,Weekend,8,8,8,9,7,10,11,20,12,10,12,8,8
6717,2130,11737,28TH AVE & KATHLEEN RD,Phoenix,,27,Weekend,1,1,1,1,1,3,3,5,2,2,2,2,2
6718,2131,11736,28TH AVE & 29TH AVE,Phoenix,,27,Weekend,0,0,0,0,,0,,0,,,0,0,0
6719,2132,11739,28TH AVE & KELTON LN,Phoenix,,27,Weekend,1,1,1,1,1,1,1,1,0,0,0,0,0
6720,2133,11723,28TH DR & CACTUS RD,Phoenix,,27,Weekend,8,8,8,12,8,16,15,26,16,19,22,15,17
6721,2134,11724,28TH DR & LARKSPUR DR,Phoenix,,27,Weekend,8,8,8,10,5,9,9,12,6,6,6,4,6
6722,2135,11722,28TH DR & LAUREL LN,Phoenix,,27,Weekend,5,5,5,6,4,6,5,7,4,4,6,7,6
6723,2136,11718,28TH DR & PEORIA AVE,Phoenix,,27,Weekend,25,24,23,29,20,40,41,55,29,36,40,33,30
6724,2137,11721,28TH DR & 11439 N,Phoenix,,27,Weekend,22,21,20,28,27,2,1,1,0,8,9,8,11
6725,2138,11725,28TH DR & WINDROSE DR,Phoenix,,27,Weekend,5,5,4,4,3,4,5,6,2,6,6,5,5
6726,2139,11719,NBD 28TH DR FS MERCER LN,Phoenix,,27,Weekend,8,8,8,8,6,11,11,16,9,7,4,3,5
6727,2151,11740,29TH AVE & PHELPS RD,Phoenix,,27,Weekend,3,3,3,3,3,5,5,5,4,4,4,4,2
6728,2152,11734,29TH AVE & BANFF LN,Phoenix,,27,Weekend,3,3,3,2,3,4,3,7,3,3,3,2,2
6729,2153,11733,29TH AVE & COUNTRY GABLES DR,Phoenix,,27,Weekend,3,3,2,2,2,5,6,7,4,6,7,3,5
6730,2154,11097,29TH AVE & DUNLAP AVE,Phoenix,,27 | 90,Weekend,28,27,25,18,6,30,25,20,5,9,4,5,5
6731,2157,11735,29TH AVE & GREENWAY RD,Phoenix,,27,Weekend,4,4,3,6,5,8,7,10,6,8,7,6,6
6732,2160,11728,31ST AVE & WILLOW AVE,Phoenix,,27,Weekend,1,1,1,0,0,0,0,0,0,1,0,1,1
6733,2161,11731,31ST AVE & ACOMA DR,Phoenix,,27,Weekend,2,2,2,1,1,1,1,3,1,1,1,1,2
6734,2166,11730,31ST AVE & HEARN RD,Phoenix,,27,Weekend,3,3,3,2,1,5,3,2,0,1,1,1,1
6735,2169,11727,31ST AVE & SWEETWATER AVE,Phoenix,,27,Weekend,4,3,3,2,1,6,5,8,2,2,1,1,2
6736,2171,11729,31ST AVE & CALAVAR RD,Phoenix,,27,Weekend,10,10,9,14,10,18,17,24,13,13,13,16,13
6737,2173,10801,32ND ST & BELLEVIEW ST,Phoenix,,32,Weekend,1,1,1,2,2,4,3,11,2,1,2,1,1
6738,2174,17040,32ND ST & CHERYL DR,Phoenix,,16 | 80,Weekend,12,12,11,15,6,53,47,34,4,8,4,5,6
6739,2175,,NB N 32ND ST NS E FILLMORE ST,Phoenix,,,Weekend,2,2,2,10,6,15,14,19,10,12,10,10,9
6740,2176,11221,32ND ST & ACOMA DR,Phoenix,,16,Weekend,1,1,1,1,1,1,2,1,0,0,0,1,1
6741,2177,11226,32ND ST & AIRE LIBRE AVE,Phoenix,,16,Weekend,1,1,1,1,0,1,1,1,0,1,3,1,0
6742,2178,11227,32ND ST & BELL RD,Phoenix,,16,Weekend,3,3,3,3,3,3,3,8,4,2,4,2,3
6743,2179,11215,32ND ST & CACTUS RD,Phoenix,,16,Weekend,8,8,7,15,9,17,25,26,14,15,13,13,13
6744,2180,11228,32ND ST & CAMPO BELLO DR,Phoenix,,16,Weekend,1,1,1,0,0,1,1,1,0,0,0,0,1
6745,2181,11213,32ND ST & CHOLLA ST,Phoenix,,16,Weekend,2,1,1,1,0,2,2,2,1,0,1,0,1
6746,2182,10810,32ND ST & CLARENDON AVE,Phoenix,,32,Weekend,2,2,2,2,1,3,3,3,2,0,1,1,2
6747,2183,10808,32ND ST & EARLL DR,Phoenix,,32,Weekend,2,2,2,6,3,6,7,8,4,5,4,3,4
6748,2184,11218,32ND ST & EMILE ZOLA AVE,Phoenix,,16,Weekend,1,1,1,1,1,2,1,2,1,1,2,1,2
6749,2185,10812,32ND ST & GLENROSA AVE,Phoenix,,32,Weekend,0,0,0,0,0,0,1,1,0,1,0,0,1
6750,2186,11223,32ND ST & GREENWAY RD,Phoenix,,16,Weekend,4,4,4,12,7,11,15,19,10,13,12,12,13
6751,2187,11229,32ND ST & GROVERS AVE,Phoenix,,16,Weekend,,,,0,0,0,0,,0,,0,6,
6752,2188,11220,32ND ST & HEARN RD,Phoenix,,16,Weekend,1,1,1,1,1,2,1,2,1,2,1,1,1
6753,2189,10811,32ND ST & INDIAN SCHOOL RD,Phoenix,,32,Weekend,8,8,7,8,4,6,13,9,4,34,5,4,6
6754,2190,10803,32ND ST & MCDOWELL RD,Phoenix,,32,Weekend,35,34,32,50,34,57,58,68,51,78,57,46,50
6755,2192,11222,32ND ST & NISBET RD,Phoenix,,16,Weekend,,,,0,,0,0,1,0,0,0,0,0
6756,2193,10805,32ND ST & OAK ST,Phoenix,,32,Weekend,4,3,3,6,5,12,14,14,7,9,9,7,10
6757,2194,10809,32ND ST & OSBORN RD,Phoenix,,32,Weekend,6,6,6,7,3,15,13,12,3,4,3,3,2
6758,2195,10804,32ND ST & PALM LN,Phoenix,,32,Weekend,11,10,10,11,9,18,18,17,11,19,11,11,12
6759,2196,11225,32ND ST & PARADISE LN,Phoenix,,16,Weekend,1,1,1,2,1,4,3,2,1,1,2,2,2
6760,2197,10800,32ND ST & ROOSEVELT ST,Phoenix,,32,Weekend,37,36,34,48,36,59,70,90,46,46,53,44,53
6761,2199,11217,32ND ST & SWEETWATER AVE,Phoenix,,16,Weekend,1,1,1,2,1,2,2,3,1,1,2,1,1
6762,2200,10807,32ND ST & THOMAS RD,Phoenix,,32,Weekend,26,25,23,27,19,39,40,41,29,43,35,32,34
6763,2201,18068,32ND ST & THUNDERBIRD RD,Phoenix,,16,Weekend,6,6,5,9,6,11,11,14,6,7,8,10,9
6764,2202,11224,32ND ST & TIERRA BUENA LN,Phoenix,,16,Weekend,1,1,1,3,1,3,5,8,4,4,2,4,4
6765,2203,,NB N 32ND ST FS E VAN BUREN ST,Phoenix,,,Weekend,15,15,14,43,28,49,61,66,49,61,54,63,60
6766,2204,10806,32ND ST & YALE ST,Phoenix,,32,Weekend,3,3,3,14,7,17,19,18,10,16,5,3,3
6767,2207,11216,32ND ST & LARKSPUR DR,Phoenix,,16,Weekend,3,2,2,1,0,0,1,1,1,1,1,1,1
6768,2208,11210,32ND ST & SHEA BLVD,Phoenix,,16 | 80,Weekend,2,2,2,4,3,1,1,2,1,1,1,1,1
6769,2211,12241,35TH AVE & COLTER ST,Phoenix,,35,Weekend,2,2,2,2,1,2,3,5,1,2,3,3,3
6770,2212,12213,35TH AVE & MINTON RD,Phoenix,,35,Weekend,2,2,2,5,1,4,3,6,1,0,1,0,1
6771,2213,12217,35TH AVE & ROESER RD,Phoenix,,35,Weekend,3,3,3,7,3,9,9,13,5,7,8,8,7
6772,2214,12236,35TH AVE & MONTEROSA AVE,Phoenix,,35,Weekend,40,38,36,52,30,58,65,88,50,60,55,61,51
6773,2215,12273,35TH AVE & WILLOW AVE,Phoenix,,35,Weekend,3,3,3,4,2,6,6,6,3,3,2,2,3
6774,2216,12282,35TH AVE & AIRE AVE,Phoenix,,35,Weekend,0,0,0,0,0,0,0,,0,0,0,0,0
6775,2217,12255,35TH AVE & ALICE AVE,Phoenix,,35,Weekend,2,1,1,2,2,2,2,4,4,4,4,3,4
6776,2218,12212,35TH AVE & BASELINE RD,Phoenix,,35,Weekend,54,52,49,111,79,165,185,237,105,108,79,66,71
6777,2219,12283,35TH AVE & BELL RD,Phoenix,,35,Weekend,16,16,15,24,14,24,27,37,18,24,34,27,27
6778,2220,12244,35TH AVE & BETHANY HOME RD,Phoenix,,35,Weekend,64,62,58,73,48,88,97,110,60,73,70,73,78
6779,2221,18391,35TH AVE & BEVERLY LN,Phoenix,,35,Weekend,1,1,1,0,0,1,1,2,0,1,1,2,1
6780,2222,12271,35TH AVE & BLOOMFIELD RD,Phoenix,,35,Weekend,3,3,3,3,2,4,4,4,2,7,4,2,3
6781,2223,12254,35TH AVE & BUTLER DR,Phoenix,,35,Weekend,3,3,3,4,2,3,6,6,5,6,7,4,7
6782,2224,12270,35TH AVE & CACTUS RD,Phoenix,,35,Weekend,8,8,8,11,7,19,19,23,21,15,11,13,12
6783,2225,12240,35TH AVE & CAMELBACK RD,Phoenix,,35,Weekend,63,60,56,74,48,94,107,131,66,85,80,82,81
6784,2226,12238,35TH AVE & CAMPBELL AVE,Phoenix,,35,Weekend,10,10,9,8,6,21,19,21,9,10,12,10,11
6785,2227,18390,35TH AVE & CAMPO BELLO DR,Phoenix,,35,Weekend,3,3,3,2,2,2,2,4,2,2,1,2,2
6786,2228,12265,35TH AVE & CHERYL DR,Phoenix,,35,Weekend,5,5,5,3,2,7,6,8,3,2,3,2,3
6787,2229,12268,35TH AVE & CHOLLA ST,Phoenix,,35,Weekend,2,2,2,2,2,2,2,4,1,3,3,3,2
6788,2230,12235,35TH AVE & CLARENDON AVE,Phoenix,,35,Weekend,3,3,3,4,2,16,12,7,1,8,2,2,2
6789,2231,12277,35TH AVE & COUNTRY GABLES DR,Phoenix,,35,Weekend,3,3,2,2,1,4,4,4,2,2,2,1,1
6790,2232,12256,35TH AVE & DUNLAP AVE,Phoenix,,35,Weekend,27,26,25,32,24,49,52,66,35,56,45,37,45
6791,2233,12233,35TH AVE & EARLL DR,Phoenix,,35,Weekend,9,9,8,9,5,13,12,16,7,10,9,9,10
6792,2234,12253,35TH AVE & EL CAMINO DR,Phoenix,,35,Weekend,13,13,12,18,10,17,19,28,12,21,20,18,19
6793,2235,12239,35TH AVE & ELM ST,Phoenix,,35,Weekend,4,4,3,2,3,6,5,5,3,5,3,4,3
6794,2236,12230,35TH AVE & ENCANTO BLVD,Phoenix,,35,Weekend,11,10,10,15,11,21,20,20,13,16,13,14,17
6795,2237,12257,35TH AVE & EVA ST,Phoenix,,35,Weekend,7,6,6,5,5,10,10,12,6,8,7,6,8
6796,2238,12225,35TH AVE & FILLMORE ST,Phoenix,,35,Weekend,8,7,7,9,5,9,12,18,6,7,8,7,9
6797,2239,12248,35TH AVE & GLENDALE AVE,Phoenix,,35,Weekend,55,54,50,72,43,74,86,132,70,75,76,78,77
6798,2240,12237,35TH AVE & GLENROSA AVE,Phoenix,,35,Weekend,19,18,17,18,15,26,24,41,20,26,23,20,33
6799,2241,12279,35TH AVE & GREENWAY RD,Phoenix,,35,Weekend,12,11,11,17,13,20,21,32,17,17,16,16,16
6800,2242,12275,35TH AVE & HEARN RD,Phoenix,,35,Weekend,1,1,1,2,1,2,2,3,2,1,2,2,2
6801,2243,12258,35TH AVE & MALAPAI DR,Phoenix,,35,Weekend,2,2,2,1,1,3,3,2,0,1,0,0,2
6802,2244,12228,35TH AVE & MCDOWELL RD,Phoenix,,35,Weekend,36,35,33,49,32,62,73,88,46,54,55,61,58
