OBJECTID,StopID,NextRide,Location,Juris,Photo,Routes,Day_Category,Q2016_2,Q2016_3,Q2016_4,Q2017_1,Q2017_2,Q2017_3,Q2017_4,Q2018_12,Q2018_2,Q2018_3,Q42018,Q2019_1,Q2019_2
43,5297,16119,STAPLEY DR & 6TH AVE,Mesa,https://farm8.staticflickr.com/7454/16310240830_6dd7f8ea58_o.jpg,128,Weekend,1,1,1,1,1,0,1,2,1,1,1,1,1
44,5298,16120,STAPLEY DR & 8TH AVE,Mesa,https://farm8.staticflickr.com/7282/16309949028_47f6d61882_o.jpg,128,Weekend,1,1,1,1,0,0,1,1,1,1,1,1,1
45,5300,16121,STAPLEY DR & EMERALD AVE,Mesa,https://farm8.staticflickr.com/7457/16497677255_d8c0bca08f_o.jpg,128,Weekend,0,0,0,1,0,,1,1,0,0,0,0,0
46,5304,16122,STAPLEY DR & SOUTHERN AVE,Mesa,https://farm8.staticflickr.com/7450/15877532433_b84d6ed6d5_o.jpg,128,Weekend,3,3,3,2,3,2,3,5,3,3,2,3,2
47,5301,16123,STAPLEY DR & HARMONY AVE,Mesa,https://farm8.staticflickr.com/7303/16497677215_bd16d9e1a0_o.jpg,128,Weekend,0,0,0,1,0,0,0,1,0,0,0,,0
48,8101,16084,INVERNESS AVE & STAPLEY DR,Mesa,https://farm9.staticflickr.com/8591/16495930501_d752251249_o.jpg,128,Weekend,1,1,1,1,1,3,2,2,1,2,1,2,1
49,9467,16544,STAPLEY DR & BASELINE RD,Mesa,https://farm9.staticflickr.com/8634/15877508843_0abfea2b84_o.jpg,128,Weekend,2,2,2,2,3,2,5,5,3,3,5,4,5
50,3103,16086,STAPLEY DR & INVERNESS AVE,Mesa,https://farm9.staticflickr.com/8656/16311755497_e483831500_o.jpg,128,Weekend,7,7,7,6,6,7,9,17,7,7,9,9,8
51,3558,16087,STAPLEY DR & HILTON AVE,Mesa,https://farm8.staticflickr.com/7598/16947669285_108c480c58_o.jpg,128,Weekend,0,0,0,1,1,0,1,1,0,0,0,0,1
52,3560,16088,STAPLEY DR & SOUTHERN AVE,Mesa,https://farm8.staticflickr.com/7315/16471684456_7f78824665_o.jpg,128,Weekend,6,6,5,5,5,5,6,12,6,6,8,8,6
53,8947,16297,GILBERT RD & RYAN RD,Chandler,https://farm8.staticflickr.com/7305/16496658952_f47a285af6_o.jpg,136,Weekend,0,0,0,0,0,0,1,0,0,0,0,1,
54,2888,16209,GILBERT RD & ENCANTO ST,Mesa,https://farm8.staticflickr.com/7364/16496678242_0da42c8b6a_o.jpg,136,Weekend,,,,,,,,,,,0,0,
55,7967,16896,INGRAM ST & HIGLEY RD,Mesa,https://farm8.staticflickr.com/7342/16497669475_7d3c8e9da6_o.jpg,136,Weekend,,,,,,,,,,,,,
56,2886,16207,GILBERT RD & DECATUR ST,Mesa,https://farm9.staticflickr.com/8587/16471686766_cee5e26a68_o.jpg,136,Weekend,0,0,0,0,,,,0,,0,0,0,0
57,8893,16754,Power Rd & Redfield Rd,Gilbert,https://farm8.staticflickr.com/7300/16311736767_8173beb1e3_o.jpg,184,Weekend,3,3,3,3,1,2,3,5,1,2,1,2,2
58,3105,16094,STAPLEY DR & MAIN ST,Mesa,https://farm8.staticflickr.com/7453/16310221130_5121290805_o.jpg,128,Weekend,3,3,3,10,5,2,3,5,2,2,2,3,3
59,3361,16201,GILBERT RD & BROADWAY RD,Mesa,https://farm8.staticflickr.com/7359/16495945441_491e387588_o.jpg,136,Weekend,3,3,3,2,2,2,2,4,2,2,3,1,3
60,4596,16261,GILBERT RD & 8TH ST,Mesa,https://farm8.staticflickr.com/7407/16496672932_81c94cd29a_o.jpg,136,Weekend,2,2,1,1,1,0,1,1,1,1,1,0,0
61,207,16213,BROWN RD & LINDSAY RD,Mesa,https://farm5.staticflickr.com/4552/38414439496_fbca6fbe6e_o.jpg,136,Weekend,,,,,,,,,,,,0,
62,9370,16469,N POWER RD & E MCDOWELL RD,Mesa,https://farm8.staticflickr.com/7423/15877506823_0f83e9598c_o.jpg,184,Weekend,0,0,0,,,0,0,1,0,0,0,0,
63,310,16182,CIVIC CENTER DR & NUNNELEY RD,Gilbert,https://farm5.staticflickr.com/4573/38237538086_5734d55ecf_o.jpg,136,Weekend,0,0,0,1,0,0,0,2,0,0,1,0,1
64,197,16217,BROWN RD & 40TH ST,Mesa,https://farm5.staticflickr.com/4575/38414434016_d41b32e559_o.jpg,136,Weekend,,,,,,,,,,,,,
65,3027,16741,POWER RD & BROWN RD,Mesa,https://farm8.staticflickr.com/7440/15877540223_3a6c9ee986_o.jpg,184,Weekend,1,1,1,1,0,0,1,1,0,0,1,1,1
66,9146,18270,N GILBERT RD & E HERMOSA VISTA,Mesa,https://farm8.staticflickr.com/7436/16311390059_610b5db830_o.jpg,136,Weekend,,,,0,0,,0,0,,,,,
67,8849,16295,GILBERT RD & LOOP 202,Chandler,https://farm8.staticflickr.com/7303/16309937508_a2bb8a390d_o.jpg,136,Weekend,0,0,0,0,0,,,0,1,0,0,0,0
68,3367,16186,GILBERT RD & SILVER CREEK RD,Gilbert,https://farm8.staticflickr.com/7435/16495919651_597f22ef94_o.jpg,136,Weekend,1,1,1,1,0,0,0,0,0,0,0,0,
69,942,16284,WARNER RD & GILBERT RD,Gilbert,https://farm8.staticflickr.com/7325/16495952541_714a6ba3b2_o.jpg,136,Weekend,1,1,1,0,0,0,1,0,0,0,0,0,0
70,3364,0,GILBERT RD & HARRISON ST,Gilbert,https://farm9.staticflickr.com/8583/16497658775_d6e0fde2f6_o.jpg,136,Weekend,0,0,0,0,,,,,,,,,
71,2887,16187,GILBERT RD & ELLIOT RD,Gilbert,https://farm9.staticflickr.com/8747/16946719801_16eaa92184_o.jpg,136,Weekend,2,2,2,2,2,3,2,4,2,3,3,3,3
72,3366,16179,GILBERT RD & RAY RD,Gilbert,https://farm8.staticflickr.com/7366/15875123824_109b6acccc_o.jpg,136 | 140,Weekend,0,0,0,1,0,1,1,2,1,1,3,1,2
73,311,16181,CIVIC CENTER DR & GILBERT RD,Gilbert,https://farm5.staticflickr.com/4573/38237538086_5734d55ecf_o.jpg,136,Weekend,0,0,0,0,0,0,1,2,0,0,0,0,0
74,8890,16756,Power Rd & Orchid Ln,Gilbert,https://farm8.staticflickr.com/7404/15877520563_9a38558ed5_o.jpg,184,Weekend,1,1,1,0,0,1,4,1,1,1,1,1,1
75,5098,16288,GILBERT RD & CYPRESS ST,Gilbert,https://farm9.staticflickr.com/8625/16497656975_6a07fa85ef_o.jpg,136,Weekend,0,0,0,0,0,0,0,0,0,0,0,,
76,8945,10037,GILBERT RD & FAIRVIEW ST,Chandler,https://farm8.staticflickr.com/7359/16496645602_5f26d6567d_o.jpg,136,Weekend,0,0,0,,,,,0,0,,0,0,0
77,5092,16291,GILBERT RD & CHANDLER BLVD,Maricopa County,https://farm8.staticflickr.com/7339/16309928308_35bd8488d3_o.jpg,136,Weekend,1,1,1,0,0,3,4,9,3,3,4,4,4
78,8886,16749,Power Rd & Decatur St,Mesa,https://farm8.staticflickr.com/7361/16310214600_69c5c01c64_o.jpg,184,Weekend,2,2,2,2,1,2,2,3,2,2,3,3,3
79,7966,16245,INGRAM ST & ROSEMONT,Mesa,https://farm8.staticflickr.com/7362/16309941028_65120ff9a2_o.jpg,136,Weekend,,,,,,,,,,,,,
80,3025,16740,POWER RD & ENSENADA ST,Mesa,https://farm9.staticflickr.com/8561/16309957108_abe4fbc201_o.jpg,184,Weekend,1,1,1,1,0,0,1,1,0,1,0,0,0
81,8887,16748,Power RD & Ensenada St,Mesa,https://farm9.staticflickr.com/8640/15875105644_cffe1bb5ff_o.jpg,184,Weekend,1,1,1,0,0,1,1,2,0,0,1,1,1
82,5600,16286,CIVIC CENTER DR & NUNNELEY RD,Gilbert,https://farm9.staticflickr.com/8596/16311401739_5e4ca08b16_o.jpg,136,Weekend,,,,,,0,1,1,0,1,1,1,0
83,4610,16264,GILBERT RD & UNIVERSITY DR,Mesa,https://farm8.staticflickr.com/7400/15875119694_13f5f1da79_o.jpg,136,Weekend,8,8,8,6,6,5,6,14,9,10,10,10,11
84,198,16221,BROWN RD & 48TH ST,Mesa,https://farm5.staticflickr.com/4570/38414440136_bf4709fda4_o.jpg,136,Weekend,,,,,,,,,,,,,
85,5093,16271,GILBERT RD & EMERALD AVE,Mesa,https://farm8.staticflickr.com/7370/16497678505_96af5d6212_o.jpg,136,Weekend,0,0,0,0,0,,0,0,,,0,,
86,9091,18417,RED MOUNTAIN COMMUNITY COLLEGE,Mesa,https://farm8.staticflickr.com/7377/16311390569_fdb927bb68_o.jpg,184,Weekend,3,2,2,2,1,2,2,3,0,0,1,0,0
87,5091,16268,GILBERT RD & BROADWAY RD,Mesa,https://farm8.staticflickr.com/7446/16311749287_ab9c3d8fe5_o.jpg,136,Weekend,8,8,7,6,5,8,8,13,6,8,9,10,9
88,4611,16278,GILBERT RD & GUADALUPE RD,Gilbert,https://farm8.staticflickr.com/7602/16759971128_f0e84fc4af_o.jpg,136 | 531,Weekend,1,1,1,2,1,2,3,5,2,3,4,4,3
89,2884,16192,GILBERT RD & ENCINAS AVE,Gilbert,https://farm8.staticflickr.com/7396/16496678412_32e3173a01_o.jpg,136,Weekend,1,1,1,1,0,1,1,2,0,0,0,0,0
90,4663,16247,HIGLEY RD & MCLELLAN RD,Mesa,https://farm8.staticflickr.com/7310/16310243280_4fa689fbf7_o.jpg,136,Weekend,,,,,,,,,,,,,
91,5497,16252,BROWN RD & GREENFIELD RD,Mesa,https://farm8.staticflickr.com/7388/16309947808_94a65e19f4_o.jpg,136,Weekend,,,,,,,,,,,,,
92,4597,16276,GILBERT RD & ASH ST,Gilbert,https://farm9.staticflickr.com/8657/16309951908_79e78ac9c4_o.jpg,136 | 531,Weekend,1,1,0,1,1,1,1,2,1,1,0,1,1
