,StopID,Juris,Day,ComputedStreetAddress,ComputedCity,ComputedState,Zipcode,Per Capita Income,Population,Poverty Count,Poverty Rate,2018
3702,9560,Phoenix,Weekend,2320 E BASELINE RD,Phoenix,AZ,85042.0,23442.0,46570.0,8510.0,18.27356667382435,
3704,9579,Phoenix,Weekend,1535 E DOBBINS RD,Phoenix,AZ,85042.0,23442.0,46570.0,8510.0,18.27356667382435,
3707,40,Phoenix,Weekend,1635 E BASELINE RD,Phoenix,AZ,85042.0,23442.0,46570.0,8510.0,18.27356667382435,38.0
3708,41,Phoenix,Weekend,4545 E BASELINE RD,Phoenix,AZ,85042.0,23442.0,46570.0,8510.0,18.27356667382435,5.333333333333333
3709,42,Phoenix,Weekend,749 E BASELINE RD,Phoenix,AZ,85042.0,23442.0,46570.0,8510.0,18.27356667382435,36.333333333333336
3710,49,Phoenix,Weekend,1215 E BASELINE RD,Phoenix,AZ,85042.0,23442.0,46570.0,8510.0,18.27356667382435,2.3333333333333335
3711,51,Phoenix,Weekend,1401 E BASELINE RD,Phoenix,AZ,85042.0,23442.0,46570.0,8510.0,18.27356667382435,2.6666666666666665
3712,52,Phoenix,Weekend,2008 E VALENCIA DR,Phoenix,AZ,85042.0,23442.0,46570.0,8510.0,18.27356667382435,2.0
3713,53,Phoenix,Weekend,2632 E VALENCIA DR,Phoenix,AZ,85042.0,23442.0,46570.0,8510.0,18.27356667382435,2.3333333333333335
3714,54,Phoenix,Weekend,3210 E BASELINE RD,Phoenix,AZ,85042.0,23442.0,46570.0,8510.0,18.27356667382435,5.666666666666667
3715,55,Phoenix,Weekend,7611 S 36TH ST,Phoenix,AZ,85042.0,23442.0,46570.0,8510.0,18.27356667382435,4.333333333333333
3716,56,Phoenix,Weekend,4102 E BASELINE RD,Phoenix,AZ,85042.0,23442.0,46570.0,8510.0,18.27356667382435,10.333333333333334
3717,57,Phoenix,Weekend,4234 E BASELINE RD,Phoenix,AZ,85042.0,23442.0,46570.0,8510.0,18.27356667382435,0.3333333333333333
3718,58,Phoenix,Weekend,4611 E BASELINE RD,Phoenix,AZ,85042.0,23442.0,46570.0,8510.0,18.27356667382435,13.0
3719,60,Phoenix,Weekend,903 E BASELINE RD,Phoenix,AZ,85042.0,23442.0,46570.0,8510.0,18.27356667382435,1.6666666666666667
3720,62,Phoenix,Weekend,19 E BASELINE RD,Phoenix,AZ,85042.0,23442.0,46570.0,8510.0,18.27356667382435,73.66666666666667
3721,68,Phoenix,Weekend,330 E BASELINE RD,Phoenix,AZ,85042.0,23442.0,46570.0,8510.0,18.27356667382435,13.333333333333334
3722,79,Phoenix,Weekend,3824 E SOPHIE LN,Phoenix,AZ,85042.0,23442.0,46570.0,8510.0,18.27356667382435,12.0
3723,85,Phoenix,Weekend,1209 E BELL RD,Phoenix,AZ,85022.0,33913.0,51426.0,6898.0,13.413448450200288,13.666666666666666
3724,86,Phoenix,Weekend,1401 E BELL RD,Phoenix,AZ,85022.0,33913.0,51426.0,6898.0,13.413448450200288,16.0
3725,87,Phoenix,Weekend,1605 E BELL RD,Phoenix,AZ,85022.0,33913.0,51426.0,6898.0,13.413448450200288,15.0
3726,88,Phoenix,Weekend,16625 N 18TH ST,Phoenix,AZ,85022.0,33913.0,51426.0,6898.0,13.413448450200288,8.666666666666666
3727,89,Phoenix,Weekend,2021 E BELL RD,Phoenix,AZ,85022.0,33913.0,51426.0,6898.0,13.413448450200288,7.0
3728,90,Phoenix,Weekend,2601 E BELL RD,Phoenix,AZ,85032.0,27780.0,72830.0,11763.0,16.151311272827133,15.333333333333334
3729,91,Phoenix,Weekend,2811 E BELL RD,Phoenix,AZ,85032.0,27780.0,72830.0,11763.0,16.151311272827133,6.0
3730,92,Phoenix,Weekend,3005 E BELL RD,Phoenix,AZ,85032.0,27780.0,72830.0,11763.0,16.151311272827133,34.666666666666664
3731,93,Phoenix,Weekend,3227 E BELL RD,Phoenix,AZ,85032.0,27780.0,72830.0,11763.0,16.151311272827133,30.333333333333332
3732,94,Phoenix,Weekend,3433 E BELL RD,Phoenix,AZ,85032.0,27780.0,72830.0,11763.0,16.151311272827133,7.0
3733,95,Phoenix,Weekend,3535 E BELL RD,Phoenix,AZ,85032.0,27780.0,72830.0,11763.0,16.151311272827133,2.3333333333333335
3734,96,Phoenix,Weekend,3815 E BELL RD,Phoenix,AZ,85032.0,27780.0,72830.0,11763.0,16.151311272827133,2.3333333333333335
3735,97,Phoenix,Weekend,245 E BELL RD,Phoenix,AZ,85022.0,33913.0,51426.0,6898.0,13.413448450200288,17.666666666666668
3736,98,Phoenix,Weekend,16825 N 40TH ST,Phoenix,AZ,85032.0,27780.0,72830.0,11763.0,16.151311272827133,11.333333333333334
3737,99,Phoenix,Weekend,4101 E BELL RD,Phoenix,AZ,85032.0,27780.0,72830.0,11763.0,16.151311272827133,1.0
3738,100,Phoenix,Weekend,16839 N 44TH ST,Phoenix,AZ,85032.0,27780.0,72830.0,11763.0,16.151311272827133,1.6666666666666667
3739,101,Phoenix,Weekend,4707 E BELL RD,Phoenix,AZ,85032.0,27780.0,72830.0,11763.0,16.151311272827133,6.333333333333333
3740,102,Phoenix,Weekend,5214 E NICHOLAS PL,Phoenix,AZ,85254.0,48816.0,46333.0,2349.0,5.069820646191699,1.0
3741,103,Phoenix,Weekend,5441 E WOODRIDGE DR,Phoenix,AZ,85254.0,48816.0,46333.0,2349.0,5.069820646191699,1.0
3742,104,Phoenix,Weekend,5601 E BELL RD,Phoenix,AZ,85254.0,48816.0,46333.0,2349.0,5.069820646191699,3.3333333333333335
3743,105,Phoenix,Weekend,16636 N 58TH ST,Phoenix,AZ,85254.0,48816.0,46333.0,2349.0,5.069820646191699,4.666666666666667
3744,106,Phoenix,Weekend,6001 E BELL RD,Phoenix,AZ,85254.0,48816.0,46333.0,2349.0,5.069820646191699,1.3333333333333333
3745,107,Phoenix,Weekend,6132 E JUNIPER AVE,Phoenix,AZ,85254.0,48816.0,46333.0,2349.0,5.069820646191699,1.0
3746,108,Phoenix,Weekend,6414 E JUNIPER AVE,Phoenix,AZ,85254.0,48816.0,46333.0,2349.0,5.069820646191699,2.0
3747,109,Phoenix,Weekend,6608 E JUNIPER AVE,Phoenix,AZ,85254.0,48816.0,46333.0,2349.0,5.069820646191699,2.0
3748,110,Phoenix,Weekend,6812 E JUNIPER AVE,Phoenix,AZ,85254.0,48816.0,46333.0,2349.0,5.069820646191699,0.6666666666666666
3749,111,Phoenix,Weekend,701 E BELL RD,Phoenix,AZ,85022.0,33913.0,51426.0,6898.0,13.413448450200288,65.66666666666667
