,StopID,Juris,Day_Category,Q2016_2,Q2016_3,Q2016_4,Q2017_1,Q2017_2,Q2017_3,Q2017_4,Q2018_12,Q2018_2,Q2018_3,Q42018,Q2019_1,Q2019_2,ComputedStreetAddress,ComputedCity,ComputedState,Zipcode
48,9467,Mesa,Weekend,2.0,2.0,2.0,2.0,3.0,2.0,5.0,5.0,3.0,3.0,5.0,4.0,5.0,1945 S STAPLEY DR,Mesa,AZ,85204.0
49,3103,Mesa,Weekend,7.0,7.0,7.0,6.0,6.0,7.0,9.0,17.0,7.0,7.0,9.0,9.0,8.0,1705 S STAPLEY DR,Mesa,AZ,85204.0
50,3558,Mesa,Weekend,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1209 E HARMONY CIR,Mesa,AZ,85204.0
51,3560,Mesa,Weekend,6.0,6.0,5.0,5.0,5.0,5.0,6.0,12.0,6.0,6.0,8.0,8.0,6.0,1210 E SOUTHERN AVE,Mesa,AZ,85204.0
52,8947,Chandler,Weekend,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,
53,2888,Mesa,Weekend,,,,,,,,,,,0.0,0.0,,2008 E ENCANTO ST,Mesa,AZ,85213.0
54,7967,Mesa,Weekend,,,,,,,,,,,,,,,,,
55,2886,Mesa,Weekend,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,633 N GILBERT RD,Mesa,AZ,85203.0
56,8893,Gilbert,Weekend,3.0,3.0,3.0,3.0,1.0,2.0,3.0,5.0,1.0,2.0,1.0,2.0,2.0,,,,
57,3105,Mesa,Weekend,3.0,3.0,3.0,10.0,5.0,2.0,3.0,5.0,2.0,2.0,2.0,3.0,3.0,1210 E MAIN ST,Mesa,AZ,85203.0
58,3361,Mesa,Weekend,3.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,1.0,3.0,363 S GILBERT RD,Mesa,AZ,85204.0
59,4596,Mesa,Weekend,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1961 E 8TH ST,Mesa,AZ,85203.0
60,207,Mesa,Weekend,,,,,,,,,,,,0.0,,,,,
61,9370,Mesa,Weekend,0.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,2807 N POWER RD,Scottsdale,AZ,85215.0
62,310,Gilbert,Weekend,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,,,,
63,197,Mesa,Weekend,,,,,,,,,,,,,,,,,
64,3027,Mesa,Weekend,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1229 N POWER RD,Mesa,AZ,85205.0
65,9146,Mesa,Weekend,,,,0.0,0.0,,0.0,0.0,,,,,,2407 N KACHINA,Mesa,AZ,85203.0
66,8849,Chandler,Weekend,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,,,,
67,3367,Gilbert,Weekend,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
68,942,Gilbert,Weekend,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
69,3364,Gilbert,Weekend,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
70,2887,Gilbert,Weekend,2.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,,,,
71,3366,Gilbert,Weekend,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,,,,
72,311,Gilbert,Weekend,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,
73,8890,Gilbert,Weekend,1.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
74,5098,Gilbert,Weekend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
75,8945,Chandler,Weekend,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,,
76,5092,Maricopa County,Weekend,1.0,1.0,1.0,0.0,0.0,3.0,4.0,9.0,3.0,3.0,4.0,4.0,4.0,,,,
77,8886,Mesa,Weekend,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,548 N POWER RD,Mesa,AZ,85205.0
78,7966,Mesa,Weekend,,,,,,,,,,,,,,,,,
79,3025,Mesa,Weekend,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1001 N POWER RD,Mesa,AZ,85205.0
80,8887,Mesa,Weekend,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,6755 E ENSENADA ST,Mesa,AZ,85205.0
81,5600,Gilbert,Weekend,,,,,,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,,,
82,4610,Mesa,Weekend,8.0,8.0,8.0,6.0,6.0,5.0,6.0,14.0,9.0,10.0,10.0,10.0,11.0,1961 E UNIVERSITY DR,Mesa,AZ,85203.0
83,198,Mesa,Weekend,,,,,,,,,,,,,,,,,
