,StopID,Location,Address,City,Zipcode,Juris_y,Day_Category,Q2016_2,Q2016_3,Q2016_4,Q2017_1,Q2017_2,Q2017_3,Q2017_4,Q2018_12,Q2018_2,Q2018_3,Q42018,Q2019_1,Q2019_2,Per Capita Income,Population,Poverty Count,Poverty Rate
1318,862.0,UNIVERSITY DR & RIVER DR,825 S RIVER DR,Mesa,85281.0,Tempe,Weekend,3.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,20480.0,65283.0,21281.0,32.59807300522341
1319,862.0,UNIVERSITY DR & RIVER DR,825 S RIVER DR,Mesa,85281.0,Tempe,Weekday,16.0,16.0,16.0,11.0,8.0,16.0,13.0,18.0,9.0,9.0,8.0,8.0,8.0,20480.0,65283.0,21281.0,32.59807300522341
1320,870.0,UNIVERSITY DR & PRICE RD,2189 E UNIVERSITY DR,Mesa,85281.0,Tempe,Weekend,2.0,2.0,2.0,3.0,2.0,5.0,5.0,7.0,4.0,5.0,5.0,8.0,11.0,20480.0,65283.0,21281.0,32.59807300522341
1321,870.0,UNIVERSITY DR & PRICE RD,2189 E UNIVERSITY DR,Mesa,85281.0,Tempe,Weekday,4.0,4.0,4.0,5.0,3.0,4.0,6.0,11.0,8.0,8.0,7.0,9.0,8.0,20480.0,65283.0,21281.0,32.59807300522341
1322,861.0,UNIVERSITY DR & PRICE RD,2309 E UNIVERSITY DR,Mesa,85281.0,Tempe,Weekend,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,20480.0,65283.0,21281.0,32.59807300522341
1323,861.0,UNIVERSITY DR & PRICE RD,2309 E UNIVERSITY DR,Mesa,85281.0,Tempe,Weekday,4.0,4.0,4.0,5.0,2.0,5.0,4.0,6.0,1.0,2.0,3.0,4.0,3.0,20480.0,65283.0,21281.0,32.59807300522341
1324,872.0,UNIVERSITY DR & GEORGE DR,806 S GEORGE DR,Mesa,85281.0,Tempe,Weekend,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20480.0,65283.0,21281.0,32.59807300522341
1325,872.0,UNIVERSITY DR & GEORGE DR,806 S GEORGE DR,Mesa,85281.0,Tempe,Weekday,6.0,6.0,6.0,5.0,3.0,3.0,4.0,6.0,4.0,3.0,5.0,4.0,3.0,20480.0,65283.0,21281.0,32.59807300522341
1326,855.0,UNIVERSITY DR & EVERGREEN RD,950 S OAKWOOD DR,Mesa,85281.0,Tempe,Weekend,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,20480.0,65283.0,21281.0,32.59807300522341
1327,855.0,UNIVERSITY DR & EVERGREEN RD,950 S OAKWOOD DR,Mesa,85281.0,Tempe,Weekday,14.0,14.0,14.0,12.0,7.0,11.0,14.0,22.0,9.0,8.0,11.0,8.0,7.0,20480.0,65283.0,21281.0,32.59807300522341
1328,869.0,UNIVERSITY DR & MAY,2727 E UNIVERSITY DR,Mesa,85281.0,Tempe,Weekend,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,20480.0,65283.0,21281.0,32.59807300522341
