,Q1,Q2,Q3,Q4,2018
3338,11.0,6.0,8.0,11.0,
3339,32.0,18.0,23.0,21.0,
3340,68.0,28.0,33.0,40.0,
3341,2.0,1.0,0.0,1.0,
3342,7.0,3.0,2.0,3.0,
3343,22.0,13.0,12.0,17.0,
3344,64.0,33.0,32.0,42.0,
3345,2.0,1.0,1.0,0.0,
3346,4.0,2.0,3.0,3.0,
3347,2.0,1.0,1.0,0.0,
3348,10.0,6.0,6.0,5.0,
3349,0.0,0.0,0.0,0.0,
3350,1.0,1.0,0.0,1.0,
3351,12.0,6.0,10.0,10.0,
3352,55.0,25.0,32.0,33.0,
3353,2.0,1.0,2.0,2.0,
3354,7.0,4.0,5.0,6.0,
3355,9.0,7.0,7.0,7.0,
3356,41.0,20.0,15.0,24.0,
3357,6.0,4.0,5.0,5.0,
3358,19.0,13.0,13.0,18.0,
3359,8.0,4.0,8.0,5.0,
3360,16.0,7.0,13.0,8.0,
3361,15.0,6.0,7.0,9.0,
3362,17.0,8.0,10.0,14.0,
3363,40.0,27.0,25.0,27.0,
3364,123.0,60.0,63.0,76.0,
3365,13.0,9.0,10.0,11.0,
3366,22.0,13.0,15.0,18.0,
3367,4.0,1.0,1.0,1.0,
3368,8.0,3.0,1.0,3.0,
3369,108.0,61.0,114.0,69.0,
3370,258.0,120.0,212.0,152.0,
3379,2.0,1.0,0.0,0.0,
3380,4.0,2.0,1.0,3.0,
3381,1.0,0.0,1.0,1.0,
3382,2.0,1.0,3.0,2.0,
3383,0.0,0.0,0.0,0.0,
3384,1.0,1.0,1.0,1.0,
3385,19.0,9.0,10.0,13.0,
3386,25.0,15.0,13.0,16.0,
3387,9.0,9.0,6.0,10.0,
3388,15.0,11.0,20.0,15.0,
3389,1.0,0.0,0.0,0.0,
3390,6.0,1.0,3.0,1.0,
3391,1.0,0.0,0.0,0.0,
3392,3.0,3.0,0.0,3.0,
3393,1.0,0.0,0.0,0.0,
3394,1.0,0.0,0.0,1.0,
3395,11.0,6.0,6.0,5.0,
3396,21.0,9.0,8.0,11.0,
3397,1.0,2.0,0.0,0.0,
3398,2.0,1.0,1.0,1.0,
3399,2.0,1.0,1.0,1.0,
3400,4.0,2.0,2.0,7.0,
3401,1.0,0.0,0.0,0.0,
3402,7.0,1.0,1.0,1.0,
3405,6.0,4.0,3.0,3.0,
3406,12.0,5.0,4.0,5.0,
3415,8.0,3.0,4.0,3.0,
3416,6.0,2.0,2.0,1.0,
3417,3.0,1.0,1.0,0.0,
3418,5.0,2.0,1.0,4.0,
3419,54.0,25.0,29.0,36.0,
3420,75.0,36.0,36.0,41.0,
3421,3.0,4.0,4.0,5.0,
3422,10.0,5.0,5.0,7.0,
3423,10.0,6.0,8.0,11.0,
3424,20.0,11.0,12.0,17.0,
3427,14.0,7.0,5.0,7.0,
3428,21.0,10.0,10.0,11.0,
3429,33.0,16.0,21.0,19.0,
3430,78.0,31.0,36.0,43.0,
3431,2.0,2.0,1.0,2.0,
3432,8.0,3.0,3.0,3.0,
3453,4.0,4.0,2.0,2.0,
3454,9.0,3.0,3.0,5.0,
3467,59.0,29.0,31.0,52.0,
3468,135.0,63.0,62.0,71.0,
3475,158.0,81.0,94.0,86.0,
3476,362.0,172.0,172.0,202.0,
3489,,,,,
3490,,,,,
