,StopID,Location,Address,City,Zipcode,Juris_y,Day_Category,Q2016_2,Q2016_3,Q2016_4,Q2017_1,Q2017_2,Q2017_3,Q2017_4,Q2018_12,Q2018_2,Q2018_3,Q42018,Q2019_1,Q2019_2
77,5299,STAPLEY DR & BROADWAY RD,414 S STAPLEY DR,Mesa,85204,Mesa,Weekday,22,22,23,25,18,20,23,36,19,20,26,28,21
78,5297,STAPLEY DR & 6TH AVE,610 S STAPLEY DR,Mesa,85204,Mesa,Weekend,1,1,1,1,1,0,1,2,1,1,1,1,1
79,5297,STAPLEY DR & 6TH AVE,610 S STAPLEY DR,Mesa,85204,Mesa,Weekday,3,3,3,6,3,3,2,3,2,3,4,5,3
80,5298,STAPLEY DR & 8TH AVE,810 S STAPLEY DR,Mesa,85204,Mesa,Weekend,1,1,1,1,0,0,1,1,1,1,1,1,1
81,5298,STAPLEY DR & 8TH AVE,810 S STAPLEY DR,Mesa,85204,Mesa,Weekday,4,4,4,3,2,3,4,4,2,2,3,3,3
82,5300,STAPLEY DR & EMERALD AVE,1012 S STAPLEY DR,Mesa,85204,Mesa,Weekend,0,0,0,1,0,,1,1,0,0,0,0,0
83,5300,STAPLEY DR & EMERALD AVE,1012 S STAPLEY DR,Mesa,85204,Mesa,Weekday,3,3,3,3,1,4,4,4,1,1,1,1,1
84,5304,STAPLEY DR & SOUTHERN AVE,1159 E SOUTHERN AVE,Mesa,85204,Mesa,Weekend,3,3,3,2,3,2,3,5,3,3,2,3,2
85,5304,STAPLEY DR & SOUTHERN AVE,1159 E SOUTHERN AVE,Mesa,85204,Mesa,Weekday,14,14,15,16,10,13,18,22,12,10,17,14,12
86,5301,STAPLEY DR & HARMONY AVE,1464 S STAPLEY DR,Mesa,85204,Mesa,Weekend,0,0,0,1,0,0,0,1,0,0,0,,0
87,5301,STAPLEY DR & HARMONY AVE,1464 S STAPLEY DR,Mesa,85204,Mesa,Weekday,1,1,2,1,1,1,2,2,1,0,1,1,0
88,8101,INVERNESS AVE & STAPLEY DR,1664 S STAPLEY DR,Mesa,85204,Mesa,Weekend,1,1,1,1,1,3,2,2,1,2,1,2,1
89,8101,INVERNESS AVE & STAPLEY DR,1664 S STAPLEY DR,Mesa,85204,Mesa,Weekday,8,8,8,7,4,5,16,11,8,10,8,9,8
90,9467,STAPLEY DR & BASELINE RD,1945 S STAPLEY DR,Mesa,85204,Mesa,Weekend,2,2,2,2,3,2,5,5,3,3,5,4,5
91,9467,STAPLEY DR & BASELINE RD,1945 S STAPLEY DR,Mesa,85204,Mesa,Weekday,5,5,5,10,8,9,13,21,10,12,19,20,18
92,3103,STAPLEY DR & INVERNESS AVE,1705 S STAPLEY DR,Mesa,85204,Mesa,Weekend,7,7,7,6,6,7,9,17,7,7,9,9,8
93,3103,STAPLEY DR & INVERNESS AVE,1705 S STAPLEY DR,Mesa,85204,Mesa,Weekday,23,23,24,26,15,17,21,33,17,18,28,28,22
94,3558,STAPLEY DR & HILTON AVE,1209 E HARMONY CIR,Mesa,85204,Mesa,Weekend,0,0,0,1,1,0,1,1,0,0,0,0,1
95,3558,STAPLEY DR & HILTON AVE,1209 E HARMONY CIR,Mesa,85204,Mesa,Weekday,5,5,5,6,2,3,5,5,2,2,2,3,3
96,3560,STAPLEY DR & SOUTHERN AVE,1210 E SOUTHERN AVE,Mesa,85204,Mesa,Weekend,6,6,5,5,5,5,6,12,6,6,8,8,6
97,3560,STAPLEY DR & SOUTHERN AVE,1210 E SOUTHERN AVE,Mesa,85204,Mesa,Weekday,24,24,25,31,19,21,29,41,25,28,41,39,29
98,2888,GILBERT RD & ENCANTO ST,2008 E ENCANTO ST,Mesa,85213,Mesa,Weekend,,,,,,,,,,,0,0,
99,2888,GILBERT RD & ENCANTO ST,2008 E ENCANTO ST,Mesa,85213,Mesa,Weekday,0,0,0,0,0,0,1,1,1,0,0,0,0
100,2886,GILBERT RD & DECATUR ST,633 N GILBERT RD,Mesa,85203,Mesa,Weekend,0,0,0,0,,,,0,,0,0,0,0
101,2886,GILBERT RD & DECATUR ST,633 N GILBERT RD,Mesa,85203,Mesa,Weekday,0,0,0,0,0,0,1,1,0,0,0,0,2
102,3105,STAPLEY DR & MAIN ST,1210 E MAIN ST,Mesa,85203,Mesa,Weekend,3,3,3,10,5,2,3,5,2,2,2,3,3
103,3105,STAPLEY DR & MAIN ST,1210 E MAIN ST,Mesa,85203,Mesa,Weekday,13,13,13,42,18,10,12,17,7,11,12,9,12
