FFEBRUARY 2020 MONTHLY RIDERSHIP REPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SERVICE,ROUTE,CITY,Avg Full Fare,Avg Exp Fare,Avg Reduced Fare,Avg Full Fare Pass,Avg Reduced Pass,Avg Monthly Pass,Avg Free,Avg Bikes,Avg W/C, Avg Daily Boardings, Total Boardings ,Daily Revenue Miles,Total Rev. Miles,Boardings Per Rev Mile,2/19 - Avg Daily,% Difference,,,,,,,,,,,,,,,,,,,,,,
SU,12,Phx,21,0,10,126,260,34,15,16,5,466,"1,860",811.6,"3,246.4",0.6, 556 ,-16.2%,,,,,,,,,,,,,,,,,,,,,,
SU,13,Phx,42,0,19,186,313,53,17,19,4,630,"2,517",900.4,"3,601.6",0.7, 581 ,8.4%,,,,,,,,,,,,,,,,,,,,,,
SU,15,Phx,16,0,20,130,274,23,13,11,7,476,"1,895",478.7,"1,914.8",1.0, 427 ,11.5%,,,,,,,,,,,,,,,,,,,,,,
SU,16,Phx,72,0,71,409,702,96,53,44,15,"1,403","5,609","1,703.9","6,815.6",0.8," 1,554 ",-9.7%,,,,,,,,,,,,,,,,,,,,,,
SU,17,Phx,191,0,132,696,"1,435",154,108,59,21,"2,716","10,862","1,337.5","5,350.0",2.0," 2,345 ",15.8%,,,,,,,,,,,,,,,,,,,,,,
SU,17,Sct,13,0,10,46,69,6,6,6,0,150,595,168.7,674.8,0.9, 211 ,-28.9%,,,,,,,,,,,,,,,,,,,,,,
SU,17,Tol,14,0,6,34,43,5,6,7,1,108,428,73.3,293.2,1.5, *November 2020 ,*November 2020,,,,,,,,,,,,,,,,,,,,,,
SU,19,Phx,173,0,133,856,"1,666",182,111,77,32,"3,121","12,477","1,941.4","7,765.6",1.6," 2,813 ",10.9%,,,,,,,,,,,,,,,,,,,,,,
SU,27,Phx,129,0,82,499,912,90,69,43,17,"1,781","7,123","1,702.6","6,810.3",1.0," 1,841 ",-3.3%,,,,,,,,,,,,,,,,,,,,,,
SU,28,Phx†,5,0,4,33,50,7,4,3,0,103,412,495.5,"1,982.0",0.2, 65 ,58.5%,,,,,,,,,,,,,,,,,,,,,,
