"NoName","X","Y","StopID","NextRide","Location","Juris","WaterFountain","ADA","Type_","ATIS_ID","Direction","Long","Lat","Routes","Zip","City","Address","State","AUTO_UNIQUE_ID_2020-07-27_pwewiora08_filter_bus_1000","UpdatedReverseGeocoding","TimeTaken","TransactionId","Source","ErrorMessage","Version","ComputedAPN","ComputedStreetAddress","ComputedCity","ComputedState","ComputedZip","ComputedZipPlus4"
"1016","-111.93923068485901","33.3490632158782","330.0","15795.0","ELLIOT RD & DATELAND DR","Tempe","No","Yes","Standard","346.0","Eastbound","-111.93923068485901","33.3490632158782","108","","","","",300,"1",562.4953,"","AggieReverseGeocoder","",4.01,"30813753","7631 S DATELAND DR","Tempe","AZ","85284","1315"
"1017","-111.93677596114401","33.3490397628858","339.0","15796.0","ELLIOT RD & MILL AVE","Tempe","No","Yes","Standard","355.0","Eastbound","-111.93677596114401","33.3490397628858","108","","","","",301,"1",1203.1194,"","AggieReverseGeocoder","",4.01,"30815051","64 E SUNBURST LN","Tempe","AZ","85284","1487"
"1018","-111.933511684939","33.3490611251121","329.0","15797.0","ELLIOT RD & COLLEGE AVE","Tempe","No","Yes","Standard","345.0","Eastbound","-111.933511684939","33.3490611251121","108","","","","",302,"1",1093.7544,"","AggieReverseGeocoder","",4.01,"30815172","7603 S COLLEGE AVE","Tempe","AZ","85284","1434"
"1019","-111.927668640079","33.3490333337788","340.0","15798.0","ELLIOT RD & RURAL RD","Tempe","No","Yes","Standard","356.0","Eastbound","-111.927668640079","33.3490333337788","108 | 522","","","","",303,"1",1656.2528,"","AggieReverseGeocoder","",4.01,"30151016F","909 E ELLIOT RD","Tempe","AZ","85284","1552"
"1020","-111.923789663544","33.3490355384088","322.0","15799.0","ELLIOT RD & RITA LN","Tempe","No","Yes","Standard","338.0","Eastbound","-111.923789663544","33.3490355384088","108 | 522","","","","",304,"1",1703.121,"","AggieReverseGeocoder","",4.01,"30151390","1116 E SUNBURST LN","Tempe","AZ","85284","1548"
"1021","-111.919567479482","33.3490219423032","334.0","15800.0","ELLIOT RD & LAKESHORE DR","Tempe","No","Yes","Standard","350.0","Eastbound","-111.919567479482","33.3490219423032","108 | 522","","","","",305,"1",1421.8792,"","AggieReverseGeocoder","",4.01,"30151661","1302 E SUNBURST LN","Tempe","AZ","85284","1627"
"1022","-111.91538907374701","33.348998953295805","342.0","15801.0","ELLIOT RD & WILLOW DR","Tempe","No","Yes","Standard","358.0","Eastbound","-111.91538907374701","33.348998953295805","108 | 522","","","","",306,"1",1421.8923,"","AggieReverseGeocoder","",4.01,"30151274","7604 S WILLOW DR","Tempe","AZ","85284","1629"
"1023","-111.913403413846","33.3489418789108","343.0","15802.0","WILLOW DR & MCCLINTOCK DR","Tempe","No","Yes","Standard","359.0","Eastbound","-111.913403413846","33.3489418789108","108 | 522","","","","",307,"1",1453.079,"","AggieReverseGeocoder","",4.01,"30151844","7650 S MCCLINTOCK DR","Tempe","AZ","85284","1672"
"1024","-111.91069692314801","33.348965599847","338.0","15803.0","ELLIOT RD & MCCLINTOCK DR","Tempe","No","Yes","Standard","354.0","Eastbound","-111.91069692314801","33.348965599847","108 | 522","","","","",308,"1",453.1269,"","AggieReverseGeocoder","",4.01,"30150095C","7605 S MCCLINTOCK DR","Tempe","AZ","85284","1662"
"1025","-111.90646413300301","33.3490310728971","337.0","15804.0","ELLIOT RD & LOS FELIZ DR","Tempe","No","Yes","Standard","353.0","Eastbound","-111.90646413300301","33.3490310728971","108 | 522","","","","",309,"1",1453.1344,"","AggieReverseGeocoder","",4.01,"30150279","1920 E SUNBURST LN","Tempe","AZ","85284","1763"
"1026","-111.903073603711","33.3490691332313","323.0","15805.0","ELLIOT RD & COUNTRY CLUB WY","Tempe","No","Yes","Standard","339.0","Eastbound","-111.903073603711","33.3490691332313","108 | 522","","","","",310,"1",1578.125,"","AggieReverseGeocoder","",4.01,"30150320","1978 E SUNBURST LN","Tempe","AZ","85284","1761"
"1029","-111.876387546715","33.3579555181456","8933.0","15381.0","DOBSON & PAMPA","Mesa","No","Yes","Standard","11363.0","Northbound","-111.876387546715","33.3579555181456","96","","","","",311,"1",1515.6276,"","AggieReverseGeocoder","",4.01,"30205304","2015 W POSADA CIR","Tempe","AZ","85202","7982"
"1030","-111.876419435328","33.3606960269627","9097.0","16130.0","S DOBSON RD & W PORTOBELLO AV","Mesa","No","Yes","Standard","11507.0","Northbound","-111.876419435328","33.3606960269627","96","","","","",312,"1",859.3778,"","AggieReverseGeocoder","",4.01,"30278062","1948 W PECOS AVE","Tempe","AZ","85202","8052"
"1031","-111.876391796432","33.3646201009406","3341.0","15382.0","DOBSON RD & GUADALUPE RD","Mesa","No","Yes","Standard","3355.0","Northbound","-111.876391796432","33.3646201009406","96","","","","",313,"1",1062.5011,"","AggieReverseGeocoder","",4.01,"30505584","2766 S YUCCA","Tempe","AZ","85202","7460"
"1032","-111.87767546479401","33.3677824690874","5077.0","15383.0","DOBSON RD & KEATING AVE","Mesa","No","Yes","Standard","5091.0","Northbound","-111.87767546479401","33.3677824690874","96","","","","",314,"1",937.4988,"","AggieReverseGeocoder","",4.01,"30504159A","1960 W KEATING AVE","Tempe","AZ","85202","7002"
"1033","-111.87976426152001","33.3707798055231","8992.0","15384.0","DOBSON AT MESA LIBRARY","Mesa","No","Yes","Standard","12070.0","Northbound","-111.87976426152001","33.3707798055231","96","","","","",315,"1",1125.0091,"","AggieReverseGeocoder","",4.01,"30504158","2505 S DOBSON RD","Tempe","AZ","85202","7367"
"1034","-111.87811817668002","33.376645637488295","3343.0","17452.0","DOBSON RD & LINDNER AVE","Mesa","No","Yes","Standard","3357.0","Northbound","-111.87811817668002","33.376645637488295","96","","","","",316,"1",859.3781,"","AggieReverseGeocoder","",4.01,"30505567","1945 W BASELINE RD","Tempe","AZ","85202","9002"
"1035","-111.877430146354","33.3789424140689","3338.0","15386.0","DOBSON RD & BASELINE RD","Mesa","No","Yes","Standard","3352.0","Northbound","-111.877430146354","33.3789424140689","96","","","","",317,"1",390.6232,"","AggieReverseGeocoder","",4.01,"30502428T","1960 W BASELINE RD","Tempe","AZ","85202","9017"
"1036","-111.874913195283","33.3831192301078","3342.0","15387.0","DOBSON RD & ISABELLA AVE","Mesa","No","Yes","Standard","3356.0","Northbound","-111.874913195283","33.3831192301078","96","","","","",318,"1",1140.6279,"","AggieReverseGeocoder","",4.01,"30502948","1665 S DOBSON RD","Tempe","AZ","85202","5609"
"1037","-111.87444429079399","33.3897857727531","3346.0","15388.0","US 60 & SOUTHERN AVE","Mesa","No","Yes","Standard","3360.0","Northbound","-111.87444429079399","33.3897857727531","96","","","","",319,"1",953.1562,"","AggieReverseGeocoder","",4.01,"13443006C","1400 S DOBSON RD","Tempe","AZ","85202","4707"
"1038","-111.874405033311","33.3935831363277","3345.0","15389.0","DOBSON RD & SOUTHERN AVE","Mesa","No","Yes","Standard","3359.0","Northbound","-111.874405033311","33.3935831363277","96","","","","",320,"1",953.1325,"","AggieReverseGeocoder","",4.01,"13427001Q","1155 S DOBSON RD","Tempe","AZ","85202","3902"
"1039","-111.874432383949","33.4029647294117","3348.0","15392.0","8TH AVE & BROADWAY RD","Mesa","No","Yes","Standard","3362.0","Northbound","-111.874432383949","33.4029647294117","96","","","","",321,"1",1312.5033,"","AggieReverseGeocoder","",4.01,"13439758","720 S DOBSON RD","Tempe","AZ","85202","2747"
"1040","-111.874296432645","33.408124054755895","3339.0","13116.0","DOBSON RD & BROADWAY RD","Mesa","No","Yes","Standard","3353.0","Northbound","-111.874296432645","33.408124054755895","45 | 96","","","","",322,"1",1484.3774,"","AggieReverseGeocoder","",4.01,"13432001U","1954 W BROADWAY RD","Tempe","AZ","85202","1141"
"1041","-111.874234689756","33.4158273408316","2875.0","12079.0","DOBSON RD & MAIN ST","Mesa","No","Yes","Standard","2889.0","Northbound","-111.874234689756","33.4158273408316","30 | 96","","","","",323,"1",1234.3778,"","AggieReverseGeocoder","",4.01,"13547027","50 N DOBSON RD","Globe","AZ","85201","6821"
"1042","-111.87420281695101","33.4185527731374","8100.0","12080.0","DOBSON RD & 2ND ST","Mesa","No","Yes","Standard","9875.0","Northbound","-111.87420281695101","33.4185527731374","30 | 96","","","","",324,"1",453.1314,"","AggieReverseGeocoder","",4.01,"13548001M","67 N DOBSON RD","Globe","AZ","85201","6822"
"1043","-111.874185606807","33.422510673455804","2876.0","15394.0","DOBSON RD & UNIVERSITY DR","Mesa","No","Yes","Standard","2890.0","Northbound","-111.874185606807","33.422510673455804","96","","","","",325,"1",1453.1339,"","AggieReverseGeocoder","",4.01,"13536157C","1940 W UNIVERSITY DR","Globe","AZ","85201","5340"
"1044","-111.874158349119","33.4260377772241","2871.0","15395.0","DOBSON RD & DECATUR ST","Mesa","No","Yes","Standard","2885.0","Northbound","-111.874158349119","33.4260377772241","96","","","","",326,"1",1187.4877,"","AggieReverseGeocoder","",4.01,"13534104","1956 W DECATUR ST","Globe","AZ","85201","4531"
"1045","-111.874004454693","33.4309548186054","8996.0","15397.0","N DOBSON RD & 8TH STREET","Mesa","No","Yes","Standard","11431.0","Northbound","-111.874004454693","33.4309548186054","96","","","","",327,"1",984.3714,"","AggieReverseGeocoder","",4.01,"13533555","901 N DOBSON RD","Globe","AZ","85201","7573"
"1046","-111.86920829241001","33.4311256182586","8994.0","12901.0","MESA RIVERVIEW NEAR HOME DEPOT","Mesa","No","Yes","Standard","11415.0","Southbound","-111.86920829241001","33.4311256182586","96","","","","",328,"1",1296.8774,"","AggieReverseGeocoder","",4.01,"13534151","1720 W DECATUR ST","Globe","AZ","85201","4544"
