NoName,X,Y,OBJECTID,StopID,NextRide,Location,Juris,DateUpdated,Long,Lat,Routes,Zip,State,Address,AUTO_UNIQUE_ID_2020-07-27_cceni03_filter_bus3001,UpdatedReverseGeocoding,TimeTaken,TransactionId,Source,ErrorMessage,Version,ComputedAPN,ComputedStreetAddress,ComputedCity,ComputedState,ComputedZip,ComputedZipPlus4
5214,-112.130507,33.661998,5323,1850,11753,YORKSHIRE DR & 33RD AVE,Phoenix,1.54E+12,-112.130507,33.661998,27,,,,281,1,515.6272,,AggieReverseGeocoder,,4.01,20611275,3244 W KRISTAL WAY,Cave Creek,AZ,85027,4862
5215,-112.1338851,33.66199494,5324,1851,11752,YORKSHIRE DR & 35TH AVE,Phoenix,1.54E+12,-112.1338851,33.66199494,27,,,,282,1,531.2497,,AggieReverseGeocoder,,4.01,20612001B,19845 N 33RD AVE,Cave Creek,AZ,85027,3805
5216,-112.110507,33.661797,5325,1852,11756,UTOPIA RD -- I-17 FWY & 23RD AVE,Phoenix,1.54E+12,-112.110507,33.661797,27,,,,283,1,531.2535,,AggieReverseGeocoder,,4.01,20916015,2500 W UTOPIA RD,Cave Creek,AZ,85027,4171
5217,-112.117506,33.662498,5326,1853,11755,YORKSHIRE DR & 27TH AVE,Phoenix,1.54E+12,-112.117506,33.662498,27,,,,284,1,468.753,,AggieReverseGeocoder,,4.01,20609113,2929 W YORKSHIRE DR,Cave Creek,AZ,85027,3949
5218,-112.237638,33.501989,5327,1855,18647,NB 83RD AVE FS CAMPBELL AVE,Phoenix,1.54E+12,-112.237638,33.501989,83,,,,285,1,734.3997,,AggieReverseGeocoder,,4.01,10279712,4512 N 82ND LN,Cave Creek,AZ,85033,1806
5219,-112.052988,33.553296,5328,1863,11197,NORTHERN AVE & 14TH ST --WESTBOUND,Phoenix,1.54E+12,-112.052988,33.553296,80,,,,286,1,1812.5151,,AggieReverseGeocoder,,4.01,16015136,1335 E NORTHERN AVE,Phoenix,AZ,85020,4276
5220,-112.237624,33.504982,5329,1864,18648,NB 83RD AVE FS HIGHLAND AVE,Phoenix,1.54E+12,-112.237624,33.504982,83,,,,287,1,1250.007,,AggieReverseGeocoder,,4.01,10280010,8222 W HIGHLAND AVE,Cave Creek,AZ,85033,1848
5221,-112.23787,33.508197,5330,1865,10779,SB 83RD AVE FS CAMELBACK RD,Phoenix,1.54E+12,-112.23787,33.508197,83,,,,288,1,1359.3856,,AggieReverseGeocoder,,4.01,10219973,8301 W CAMELBACK RD,Avondale,AZ,85037,1257
5222,-112.237836,33.505956,5331,1866,18649,SB 83RD AVE FS ELM ST,Phoenix,1.54E+12,-112.237836,33.505956,83,,,,289,1,1328.1169,,AggieReverseGeocoder,,4.01,10274734,8301 W ELM ST,Avondale,AZ,85037,1245
5223,-112.237861,33.501276,5332,1868,18650,SB 83RD AVE FS CAMPBELL AVE,Phoenix,1.54E+12,-112.237861,33.501276,83,,,,290,1,812.5026,,AggieReverseGeocoder,,4.01,10219004R,4506 N 83RD AVE,Cave Creek,AZ,85033,1857
