,StopID,Location_x,Juris_x,Type_,Direction,Address,City,ComputedState,Zipcode,ComputedZipPlus4,OBJECTID,NextRide,Location_y,Juris_y,Photo,Routes,Day_Category,Q2016_2,Q2016_3,Q2016_4,Q2017_1,Q2017_2,Q2017_3,Q2017_4,Q2018_12,Q2018_2,Q2018_3,Q42018,Q2019_1,Q2019_2,Per Capita Income,Population,Poverty Count,Poverty Rate
10631,2664.0,7TH ST & TOWNLEY AVE,Phoenix,,,8905 N 7TH ST,Phoenix,AZ,85020.0,2911.0,7449.0,10530.0,7TH ST & TOWNLEY AVE,Phoenix,,7,Weekend,8.0,8.0,7.0,9.0,6.0,12.0,16.0,19.0,10.0,11.0,8.0,7.0,8.0,36727.0,34782.0,5670.0,16.301535276867344
10632,2664.0,7TH ST & TOWNLEY AVE,Phoenix,,,8905 N 7TH ST,Phoenix,AZ,85020.0,2911.0,15012.0,10530.0,7TH ST & TOWNLEY AVE,Phoenix,,7,Weekday,11.0,11.0,11.0,15.0,9.0,17.0,14.0,26.0,15.0,12.0,12.0,12.0,13.0,36727.0,34782.0,5670.0,16.301535276867344
10633,2666.0,7TH ST & WASHINGTON ST,Phoenix,,,706 E WASHINGTON ST,Phoenix,AZ,85034.0,1064.0,7450.0,10269.0,7TH ST & WASHINGTON ST,Phoenix,, SR51 | 1 | 7,Weekend,8.0,8.0,7.0,8.0,11.0,18.0,14.0,19.0,17.0,25.0,8.0,10.0,18.0,15735.0,4772.0,1896.0,39.73176865046102
10634,2666.0,7TH ST & WASHINGTON ST,Phoenix,,,706 E WASHINGTON ST,Phoenix,AZ,85034.0,1064.0,15013.0,10269.0,7TH ST & WASHINGTON ST,Phoenix,, SR51 | 1 | 7,Weekday,20.0,20.0,21.0,20.0,17.0,32.0,25.0,45.0,24.0,35.0,25.0,26.0,30.0,15735.0,4772.0,1896.0,39.73176865046102
10635,2667.0,7TH ST & WELDON AVE,Phoenix,,,3710 N 7TH ST,Phoenix,AZ,85014.0,5002.0,7451.0,10508.0,7TH ST & WELDON AVE,Phoenix,,7,Weekend,6.0,6.0,5.0,3.0,3.0,8.0,6.0,9.0,4.0,4.0,3.0,3.0,5.0,33350.0,27395.0,5190.0,18.945062967694835
10636,2667.0,7TH ST & WELDON AVE,Phoenix,,,3710 N 7TH ST,Phoenix,AZ,85014.0,5002.0,15014.0,10508.0,7TH ST & WELDON AVE,Phoenix,,7,Weekday,13.0,13.0,13.0,10.0,4.0,9.0,6.0,13.0,6.0,6.0,8.0,7.0,8.0,33350.0,27395.0,5190.0,18.945062967694835
10637,2669.0,7TH ST & CHERYL DR,Phoenix,,,10007 N 7TH ST,Phoenix,AZ,85020.0,1749.0,7452.0,10534.0,7TH ST & CHERYL DR,Phoenix,,7,Weekend,5.0,5.0,4.0,6.0,4.0,7.0,7.0,10.0,6.0,6.0,6.0,6.0,7.0,36727.0,34782.0,5670.0,16.301535276867344
10638,2669.0,7TH ST & CHERYL DR,Phoenix,,,10007 N 7TH ST,Phoenix,AZ,85020.0,1749.0,15015.0,10534.0,7TH ST & CHERYL DR,Phoenix,,7,Weekday,6.0,6.0,6.0,8.0,5.0,9.0,9.0,12.0,6.0,7.0,9.0,8.0,10.0,36727.0,34782.0,5670.0,16.301535276867344
10639,2670.0,7TH ST & PEORIA AVE,Phoenix,,,744 E PEORIA AVE,Phoenix,AZ,85020.0,1500.0,7453.0,10535.0,7TH ST & PEORIA AVE,Phoenix,,7,Weekend,3.0,3.0,3.0,1.0,0.0,4.0,3.0,3.0,6.0,15.0,8.0,8.0,9.0,36727.0,34782.0,5670.0,16.301535276867344
10640,2670.0,7TH ST & PEORIA AVE,Phoenix,,,744 E PEORIA AVE,Phoenix,AZ,85020.0,1500.0,15016.0,10535.0,7TH ST & PEORIA AVE,Phoenix,,7,Weekday,7.0,7.0,7.0,4.0,1.0,5.0,3.0,4.0,10.0,14.0,14.0,13.0,13.0,36727.0,34782.0,5670.0,16.301535276867344
