Column1,X,Y,StopID,Location,Juris,Type_,Long,Lat,State,Zipcode,City,StreetAddress,AUTO_UNIQUE_ID_2020-07-28_czc5230_bus_4,UpdatedReverseGeocoding,TimeTaken,TransactionId,Source,ErrorMessage,Version,ComputedAPN,ComputedStreetAddress,ComputedCity,ComputedState,ComputedZip,ComputedZipPlus4
5426,-111.9954925,33.4065553,20012,40TH ST & BROADWAY RD,Phoenix,,-111.9954925,33.4065553,AZ, , , ,927,1,359.3759,,AggieReverseGeocoder,,4.01,12274178,3955 E BROADWAY RD,Phoenix,AZ,85040,2925
5427,-111.9955299,33.40314579,20013,40TH ST & WIER AVE,Phoenix,,-111.9955299,33.40314579,AZ, , , ,928,1,359.3759,,AggieReverseGeocoder,,4.01,12306047,4025 E COTTON CENTER BLVD,Phoenix,AZ,85040,8866
5428,-111.9952488,33.40400585,20027,40TH ST & COTTON CENTER BLVD,Phoenix,,-111.9952488,33.40400585,AZ, , , ,929,1,375.0017,,AggieReverseGeocoder,,4.01,12306028,4050 E COTTON CENTER BLVD,Phoenix,AZ,85040,8861
5429,-111.9953326,33.40036886,20026,40TH ST & ROESER RD,Phoenix,,-111.9953326,33.40036886,AZ, , , ,930,1,359.372,,AggieReverseGeocoder,,4.01,12306016,5005 S 40TH ST,Phoenix,AZ,85040,2969
5430,-111.9955563,33.39941721,20014,40TH ST & ROESER RD,Phoenix,,-111.9955563,33.39941721,AZ, , , ,931,1,374.9994,,AggieReverseGeocoder,,4.01,12276099B,5202 S 40TH ST,Phoenix,AZ,85040,3918
5431,-111.9953769,33.39627322,20025,40TH ST & SUNLAND AVE,Phoenix,,-111.9953769,33.39627322,AZ, , , ,932,1,359.3777,,AggieReverseGeocoder,,4.01,12316070,4002 E SUNLAND AVE,Phoenix,AZ,85040,3937
5432,-111.995619,33.39577769,20015,40TH ST & SUNLAND AVE,Phoenix,,-111.995619,33.39577769,AZ, , , ,933,1,374.9998,,AggieReverseGeocoder,,4.01,12276114,5610 S 40TH ST,Phoenix,AZ,85040,3906
5433,-111.9954118,33.39295026,20024,40TH ST & SOUTHERN AVE,Phoenix,,-111.9954118,33.39295026,AZ, , , ,934,1,374.9989,,AggieReverseGeocoder,,4.01,12316002E,4002 E SOUTHERN AVE,Phoenix,AZ,85042,9027
5434,-111.9956559,33.39224113,20016,40TH ST & SOUTHERN AVE,Phoenix,,-111.9956559,33.39224113,AZ, , , ,935,1,359.4111,,AggieReverseGeocoder,,4.01,12279019A,3945 E SOUTHERN AVE,Phoenix,AZ,85040,3961
5435,-111.995658,33.38834165,20017,40TH ST & CATHERINE AVE,Phoenix,,-111.995658,33.38834165,AZ, , , ,936,1,374.9737,,AggieReverseGeocoder,,4.01,12279071,6409 S 39TH PL,Phoenix,AZ,85042,5008
5436,-111.9954145,33.38908494,20023,40TH ST & CATHERINE AVE,Phoenix,,-111.9954145,33.38908494,AZ, , , ,937,1,375.0017,,AggieReverseGeocoder,,4.01,12317560,4005 E ALTA VISTA RD,Phoenix,AZ,85042,5136
5437,-111.9954312,33.38582638,20022,40TH ST & VINEYARD RD,Phoenix,,-111.9954312,33.38582638,AZ, , , ,938,1,390.6254,,AggieReverseGeocoder,,4.01,12358138,6652 S 40TH PL,Phoenix,AZ,85042,5103
5438,-111.9956768,33.38493637,20018,40TH ST & VINEYARD RD,Phoenix,,-111.9956768,33.38493637,AZ, , , ,939,1,375.0006,,AggieReverseGeocoder,,4.01,12297099,6803 S 39TH PL,Phoenix,AZ,85042,6202
5439,-111.9956486,33.38097886,20019,40TH ST & FREMONT DR,Phoenix,,-111.9956486,33.38097886,AZ, , , ,940,1,375.0007,,AggieReverseGeocoder,,4.01,12298010,7221 S 39TH WAY,Phoenix,AZ,85042,6233
