X,Y,OBJECTID,StationId,StationName,Jurisdiction,Type,Image,Image2,Q2015_1,Q2015_2,Q2015_3,Q2015_4,Q2016_1,Q2016_2,Q2106_3,Q2016_4,Q2017_1,Q2017_2,Q2018_1,Oct_Dec_2017,July_Sept_2017,April_June_2018,July_Sept_2018
-112.074048149354,33.4593904638524,34,14,Roosevelt / Central Avenue,Phoenix,Boardings,https://farm6.staticflickr.com/5636/23699464899_987184a45e_o.jpg,,1056,951,656,1016,1014,973,938,952,1035,1098,949,949,931,923,866
-111.855565487856,33.4149411135333,35,32,Main Street/ Alma School Road,Mesa,Boardings,https://farm2.staticflickr.com/1620/23771607490_32dabe11a9_o.jpg,,0,0,811,970,1035,1023,1050,1100,1092,1078,1071,1071,1070,1061,1080
-111.839072866663,33.4151203386989,36,33,Main Street/ Country Club Drive,Mesa,Boardings,https://farm6.staticflickr.com/5784/23440493303_3bbfcf60f0_o.jpg,,0,0,881,1044,1076,1010,1036,1093,1147,1137,1100,1100,1070,1081,1095
-111.830645946242,33.4151070876911,37,34,Main Street/ Center Street,Mesa,Boardings,https://farm6.staticflickr.com/5812/23984692621_8d5532a2af_o.jpg,,0,0,414,426,411,385,386,457,447,437,459,459,429,412,419
-111.822144320827,33.4150636945396,38,35,Main Street/ Mesa Drive,Mesa,Boardings,https://farm6.staticflickr.com/5644/24041186696_c20166d946_o.jpg,https://farm2.staticflickr.com/1716/23989217631_8fb49fc407_o.jpg,0,0,2136,2124,2256,2130,2153,2220,2323,2258,2291,2291,2219,2157,2172
-112.100759466221,33.5673974970999,39,1,Dunlap / 19th Ave,Phoenix,Boardings,https://farm8.staticflickr.com/7090/26530397293_0faa60e8de_b.jpg,https://farm8.staticflickr.com/7641/27039654922_cec4d20e63_b.jpg,0,0,0,0,311,2293,2426,2418,2522,2634,2748,2748,2788,2741,2792
-112.099628965907,33.5520712942292,40,2,Northern / 19th Ave,Phoenix,Boardings,https://farm8.staticflickr.com/7505/27101054406_aef88d5c18_b.jpg,,0,0,0,0,119,927,994,1049,1101,1077,1112,1112,1072,1091,1107
-112.099700877682,33.537384358998,41,3,Glendale / 19th Ave,Phoenix,Boardings,https://farm8.staticflickr.com/7167/26530393693_96b1baf0ea_b.jpg,https://farm8.staticflickr.com/7377/26860112480_40f73b0d48_b.jpg,0,0,0,0,148,1200,1322,1379,1398,1313,1410,1410,1308,1369,1313
-112.099731008771,33.5205918539304,42,4,Montebello / 19th Ave,Phoenix,Departures,https://farm2.staticflickr.com/1497/23984692441_d067610604_o.jpg,,3943,3562,2465,3504,3359,2116,2135,2201,2192,2011,2048,2048,1895,1875,1810
-112.09880709341,33.5095430671203,43,5,19th Avenue / Camelback,Phoenix,Departures,https://farm6.staticflickr.com/5699/24067295415_ed6193047b_o.jpg,https://farm2.staticflickr.com/1466/23776130020_e413ed5cb6_o.jpg,1911,1766,1275,1897,1954,1940,1994,2041,2090,2009,2020,2020,1990,1829,1807
-112.083336174682,33.5093081689245,44,6,7th Avenue / Camelback,Phoenix,Departures,https://farm2.staticflickr.com/1534/24041186226_fccc45bb5f_o.jpg,,1108,1053,794,1179,1172,1162,1204,1253,1271,1157,1160,1160,1097,1065,972
-112.07378741844,33.4957540851608,45,9,Indian School / Central Avenue,Phoenix,Departures,https://farm2.staticflickr.com/1451/23959139152_7ca74f286d_o.jpg,,1574,1451,1004,1520,1593,1575,1532,1559,1582,1466,1504,1504,1340,1343,1247
-112.073785892661,33.5014098853515,46,8,Campbell / Central Avenue,Phoenix,Departures,https://farm2.staticflickr.com/1636/23439058354_ec23763a2d_o.jpg,,1008,818,730,933,954,769,848,953,937,789,919,919,785,694,760
-112.073806872517,33.4868613021321,47,10,Osborne / Central Avenue,Phoenix,Departures,https://farm6.staticflickr.com/5818/23439058124_72357b77f8_o.jpg,,902,815,541,872,912,926,902,960,939,881,819,819,792,820,737
-112.073771583811,33.481227476293,48,11,Thomas / Central Avenue,Phoenix,Departures,https://farm6.staticflickr.com/5662/23959139042_87fae4d0f1_o.jpg,,1488,1362,934,1416,1486,1457,1400,1475,1498,1425,1366,1366,1289,1372,1275
-112.073815052099,33.473667056443,49,12,Encanto / Central Avenue,Phoenix,Departures,https://farm2.staticflickr.com/1448/23439057074_24b218efea_o.jpg,,556,449,305,517,553,534,523,521,553,500,432,432,430,426,398
-112.073820719648,33.4647252356442,50,13,McDowell / Central Avenue,Phoenix,Departures,https://farm6.staticflickr.com/5781/23984694991_f39fcb4e07_o.jpg,,1732,1544,1103,1680,1765,1705,1670,1657,1734,1702,1137,1137,1182,1087,1381
-111.916881324685,33.4147603692334,51,27,Dorsey / Apache Boulevard,Tempe,Departures,https://farm2.staticflickr.com/1683/23699462989_0d729e04e3_o.jpg,,848,680,512,794,778,684,712,729,746,653,723,723,681,637,673
-111.908240039912,33.4147258670684,52,28,McClintock / Apache Boulevard,Tempe,Departures,https://farm2.staticflickr.com/1671/23984693011_ffafdd3e95_o.jpg,,1520,1168,952,1461,1448,1234,1277,1363,1412,1185,1204,1204,1125,1065,1073
-111.88808677454,33.4148134350923,53,30,Price-101 Freeway / Apache Boulevard,Tempe,Departures,https://farm6.staticflickr.com/5802/23959140062_4f63774c8b_o.jpg,https://farm2.staticflickr.com/1573/23989217621_90c5fd95a0_o.jpg,1196,822,639,1024,1009,862,853,907,967,831,899,899,816,763,748
-111.987983136676,33.4481699244174,54,21,44th Street / Washington,Phoenix,Departures,https://farm6.staticflickr.com/5771/23439060114_4cdce64345_o.jpg,https://farm2.staticflickr.com/1502/23443590524_dc4a06a76c_o.jpg,1937,1769,1207,2047,1941,1911,1834,1895,1917,1851,1815,1815,1682,1751,1719
-112.075308589731,33.5086654010472,55,7,Central Avenue / Camelback,Phoenix,Departures,https://farm6.staticflickr.com/5746/23699462439_fe035808d3_o.jpg,https://farm6.staticflickr.com/5833/23703988949_475d9c5c4d_o.jpg,1069,892,573,948,955,931,844,931,928,914,919,919,810,807,722
-111.935920525379,33.4261258183162,56,25,Veterans Way / College Avenue,Tempe,Departures,https://farm2.staticflickr.com/1698/23984693291_904bf2b746_o.jpg,https://farm2.staticflickr.com/1501/23984691361_f01dcb7c59_o.jpg,2116,1674,1486,2208,1994,1617,1845,1881,1813,1561,1757,1757,1625,1408,1533
-111.940680046286,33.4275021337507,57,24,MIll Ave / 3rd Street,Tempe,Departures,https://farm2.staticflickr.com/1663/23959140552_d199d43e81_o.jpg,,1685,1267,927,1659,1489,1411,1364,1447,1473,1346,1258,1258,1210,1052,980
-111.926903053989,33.4207581730884,58,26,University Drive / Rural Rd,Tempe,Departures,https://farm2.staticflickr.com/1511/24067296165_4da3114369_o.jpg,,2041,1403,1337,1935,2020,1464,1621,1681,1840,1351,1577,1577,1463,1248,1406
-111.900765828012,33.4147834701956,59,29,Smith-Martin / Apache Boulevard,Tempe,Departures,https://farm2.staticflickr.com/1556/23959138232_90b3b8aaa9_o.jpg,,430,383,316,477,447,391,401,415,401,359,412,412,411,362,373
-111.870891244229,33.4148508535363,60,31,Sycamore / Main Street,Mesa,Departures,https://farm6.staticflickr.com/5807/23984692861_d1a95aaafe_o.jpg,https://farm2.staticflickr.com/1650/23989217991_520f376fca_o.jpg,3920,3395,1574,1632,1596,1431,1390,1422,1430,1348,1315,1315,1277,1249,1196
-112.075053325998,33.4519256270734,61,15,Van Buren / 1st Avenue,Phoenix,Departures,https://farm2.staticflickr.com/1535/23699464749_2bb3559d45_o.jpg,,1834,1638,1186,1705,1771,1738,1754,1774,1780,1692,1647,1647,1625,1561,1602
-112.073966654798,33.4519144172446,62,15,Van Buren / Central Avenue,Phoenix,Departures,https://farm2.staticflickr.com/1535/23699464749_2bb3559d45_o.jpg,,1214,969,839,1173,1155,977,1116,1090,1128,938,1013,1013,1007,894,955
-112.075239896158,33.4477741983472,63,16,Jefferson / 1st Avenue,Phoenix,Departures,https://farm2.staticflickr.com/1542/24041188816_c1edc50acb_o.jpg,,1307,904,595,960,1031,974,906,929,946,928,831,831,783,886,783
-112.073927522664,33.4488759878778,64,16,Washington / Central Avenue,Phoenix,Departures,https://farm2.staticflickr.com/1542/24041188816_c1edc50acb_o.jpg,,833,704,483,743,760,732,678,689,709,733,680,680,708,774,627
-112.069311297029,33.4462716774751,65,17,3rd Street / Jefferson,Phoenix,Departures,https://farm6.staticflickr.com/5824/24067297435_38ce4bbafd_o.jpg,,720,797,371,487,495,901,596,433,472,841,465,465,614,752,576
-112.070620606321,33.4483506229476,66,17,3rd Street / Washington,Phoenix,Departures,https://farm6.staticflickr.com/5824/24067297435_38ce4bbafd_o.jpg,,1643,1251,604,923,1000,1373,851,726,844,1301,775,775,892,1051,849
-112.057211636116,33.4482490199803,67,18,12th Street / Washington,Phoenix,Departures,https://farm2.staticflickr.com/1612/23959141212_90b4fd47c5_o.jpg,,297,264,191,315,325,297,302,314,328,306,297,297,283,290,278
-112.055659407477,33.4471994248145,68,18,12th Street / Jefferson,Phoenix,Departures,https://farm2.staticflickr.com/1612/23959141212_90b4fd47c5_o.jpg,,366,324,222,350,368,381,369,377,381,369,346,346,336,330,325
-112.073838706065,33.4593536931515,69,14,Roosevelt / Central Avenue,Phoenix,Departures,https://farm6.staticflickr.com/5636/23699464899_987184a45e_o.jpg,,1027,929,638,1013,1006,956,916,928,1012,1062,913,913,876,875,844
-112.029288796535,33.4481911529942,70,19,24th Street / Washington,Phoenix,Departures,https://farm2.staticflickr.com/1509/23699463719_4dbc1800a8_o.jpg,,577,509,371,586,563,527,520,528,508,468,490,490,479,498,467
-112.02928243755,33.4472274301101,71,19,24th Street / Jefferson,Phoenix,Departures,https://farm2.staticflickr.com/1509/23699463719_4dbc1800a8_o.jpg,,469,459,322,513,515,548,533,530,520,497,473,473,475,464,456
-111.999886358594,33.4481023520395,72,20,38th Street / Washington,Phoenix,Departures,https://farm6.staticflickr.com/5783/24067294335_d4aeefc673_o.jpg,https://farm2.staticflickr.com/1447/24071816735_fd6d45a268_o.jpg,905,732,541,863,841,838,809,855,817,795,764,764,709,686,648
-111.946627682264,33.4380630453521,73,23,Center Parkway / Washington,Tempe,Departures,https://farm6.staticflickr.com/5815/24067296465_5c7b834c53_o.jpg,,319,243,193,309,279,236,239,248,254,239,261,261,221,220,223
-111.956090063468,33.4420029416517,74,22,Priest Drive / Washington,Tempe,Departures,https://farm6.staticflickr.com/5763/24041187666_d931bf0ba3_o.jpg,,951,837,583,922,887,837,825,869,880,866,986,986,779,989,944
-112.074048149354,33.4593904638524,75,14,Roosevelt / Central Avenue,Phoenix,Departures,https://farm6.staticflickr.com/5636/23699464899_987184a45e_o.jpg,,1027,929,638,1013,1006,956,916,928,1012,1062,913,913,876,875,844
-111.855565487856,33.4149411135333,76,32,Main Street/ Alma School Road,Mesa,Departures,https://farm2.staticflickr.com/1620/23771607490_32dabe11a9_o.jpg,,0,0,826,980,1042,1022,1055,1099,1105,1075,1078,1078,1072,1064,1090
-111.839072866663,33.4151203386989,77,33,Main Street/ Country Club Drive,Mesa,Departures,https://farm6.staticflickr.com/5784/23440493303_3bbfcf60f0_o.jpg,,0,0,849,992,1015,959,998,1081,1128,1117,1078,1078,1057,1062,1081
-111.830645946242,33.4151070876911,78,34,Main Street/ Center Street,Mesa,Departures,https://farm6.staticflickr.com/5812/23984692621_8d5532a2af_o.jpg,,0,0,465,471,450,424,419,453,448,432,459,459,421,411,419
-111.822144320827,33.4150636945396,79,35,Main Street/ Mesa Drive,Mesa,Departures,https://farm6.staticflickr.com/5644/24041186696_c20166d946_o.jpg,https://farm2.staticflickr.com/1716/23989217631_8fb49fc407_o.jpg,0,0,2193,2187,2314,2167,2197,2287,2408,2345,2418,2418,2346,2265,2265
-112.100759466221,33.5673974970999,80,1,Dunlap / 19th Ave,Phoenix,Departures,https://farm8.staticflickr.com/7090/26530397293_0faa60e8de_b.jpg,https://farm8.staticflickr.com/7641/27039654922_cec4d20e63_b.jpg,0,0,0,0,324,2350,2467,2486,2570,2667,2836,2836,2841,2808,2866
-112.099628965907,33.5520712942292,81,2,Northern / 19th Ave,Phoenix,Departures,https://farm8.staticflickr.com/7505/27101054406_aef88d5c18_b.jpg,,0,0,0,0,118,910,984,1022,1074,1067,1093,1093,1078,1065,1109
-112.099700877682,33.537384358998,82,3,Glendale / 19th Ave,Phoenix,Departures,https://farm8.staticflickr.com/7167/26530393693_96b1baf0ea_b.jpg,https://farm8.staticflickr.com/7377/26860112480_40f73b0d48_b.jpg,0,0,0,0,144,1151,1279,1345,1368,1261,1382,1382,1280,1340,1290
