,Unnamed: 0,X,Y,StopID,Location,Juris,Type_,Long,Lat,Zipcode,City,Street Address
384,1133,-111.91101932983,33.3641943718233,3424.0,MCCLINTOCK DR & GUADALUPE RD,Tempe,Standard,-111.91101932983,33.3641943718233, , , 
385,1134,-111.911120025581,33.3698588270501,3432.0,MCCLINTOCK DR & WATSON DR,Tempe,Standard,-111.911120025581,33.3698588270501, , , 
386,1135,-111.911173001392,33.371840787321,3436.0,MCCLINTOCK DR & CORNELL DR,Tempe,Standard,-111.911173001392,33.371840787321, , , 
387,1136,-111.91001213786801,33.3757045227807,3428.0,MCCLINTOCK DR & OXFORD DR,Tempe,Standard,-111.91001213786801,33.3757045227807, , , 
388,1137,-111.909087300044,33.3789254055568,3418.0,MCCLINTOCK DR & BASELINE RD,Tempe,Standard,-111.909087300044,33.3789254055568, , , 
389,1138,-111.90907124326401,33.3809357986802,3423.0,MCCLINTOCK DR & ELLIS DR,Tempe,Standard,-111.90907124326401,33.3809357986802, , , 
390,1139,-111.90900016327801,33.3840834020179,3434.0,MCCLINTOCK DR & US 60,Tempe,Standard,-111.90900016327801,33.3840834020179, , , 
391,1140,-111.908992353939,33.387148878903496,3433.0,MCCLINTOCK DR & US 60,Tempe,Standard,-111.908992353939,33.387148878903496, , , 
392,1141,-111.909010192558,33.3905708994199,3426.0,MCCLINTOCK DR & LA JOLLA DR,Tempe,Standard,-111.909010192558,33.3905708994199, , , 
393,1142,-111.90891122729099,33.3932383760392,3430.0,MCCLINTOCK DR & SOUTHERN AVE,Tempe,Standard,-111.90891122729099,33.3932383760392, , , 
394,1143,-111.908934506966,33.3981011937185,3435.0,MCCLINTOCK DR & CAMPUS DR,Tempe,Standard,-111.908934506966,33.3981011937185, , , 
395,1144,-111.908970028771,33.400453680522105,3415.0,MCCLINTOCK DR & ALAMEDA DR,Tempe,Standard,-111.908970028771,33.400453680522105, , , 
396,1145,-111.908983417383,33.405033891996396,3429.0,MCCLINTOCK DR & PALMCROFT DR,Tempe,Standard,-111.908983417383,33.405033891996396, , , 
397,1146,-111.908899376839,33.4080777876166,3420.0,MCCLINTOCK DR & BROADWAY RD,Tempe,Standard,-111.908899376839,33.4080777876166, , , 
398,1147,-111.90895414044701,33.4142776478979,3417.0,MCCLINTOCK DR & APACHE BLVD,Tempe,Standard,-111.90895414044701,33.4142776478979, , , 
399,1148,-111.908979252595,33.4178229234845,3421.0,MCCLINTOCK DR & DON CARLOS AVE,Tempe,Standard,-111.908979252595,33.4178229234845, , , 
400,1149,-111.90896285702601,33.4193697782232,3425.0,MCCLINTOCK DR & HAYDEN LN,Tempe,Standard,-111.90896285702601,33.4193697782232, , , 
401,1150,-111.909736591222,33.422125791251304,6093.0,UNIVERSITY DR & MCCLINTOCK DR,Tempe,Standard,-111.909736591222,33.422125791251304, , , 
402,1151,-111.92671689802799,33.4221582717561,6097.0,UNIVERSITY DR & RURAL RD,Tempe,Standard,-111.92671689802799,33.4221582717561, , , 
403,1152,-111.938496441285,33.425598509064,5324.0,5TH ST & MYRTLE AVE,Tempe,Standard,-111.938496441285,33.425598509064, , , 
404,1153,-111.940743507085,33.4255957695657,6256.0,5TH ST & MILL AVE,Tempe,Standard,-111.940743507085,33.4255957695657, , , 
405,1154,-111.94313918460101,33.4255900001411,9469.0,5TH ST & ASH ST,Tempe,Standard,-111.94313918460101,33.4255900001411, , , 
406,1155,-111.94285358744301,33.427278906030104,8921.0,ASH AVE & 3RD ST,Tempe,Standard,-111.94285358744301,33.427278906030104, , , 
407,1156,-111.942497599095,33.4292007214261,9419.0,S ASH AV AT W RIO SALADO PKWY,Tempe,Standard,-111.942497599095,33.4292007214261, , , 
408,1157,-111.94536954253401,33.4315379497401,8920.0,RIO SALADO PKWY AT LINEAR PARK,Tempe,Standard,-111.94536954253401,33.4315379497401, , , 
409,1158,-111.94920931661,33.4309328732056,9565.0,RIO SALADO PKWY & TEMPE CENTER FOR THE ARTS,Tempe,Standard,-111.94920931661,33.4309328732056, , , 
410,1159,-111.95203841098301,33.4310954884405,8918.0,RIO SALADO PKWY & HARDY DR,Tempe,Standard,-111.95203841098301,33.4310954884405, , , 
411,1160,-111.961552192708,33.4295427327449,8916.0,RIO SALADO PKWY & PRIEST DR,Tempe,Standard,-111.961552192708,33.4295427327449, , , 
412,1161,-111.969781252071,33.4301308711862,8911.0,RIO SALADO PKWY AT 2050 WEST,Tempe,Standard,-111.969781252071,33.4301308711862, , , 
413,1162,-111.969724676987,33.426564074648,9420.0,N 52ND ST & W 4TH ST,Tempe,Standard,-111.969724676987,33.426564074648, , , 
414,1163,-111.969683446797,33.4216094469369,7817.0,52ND ST & UNIVERSITY DR,Tempe,Standard,-111.969683446797,33.4216094469369, , , 
415,1164,-111.96962623909401,33.4176854509532,7812.0,52ND ST & MEDTRONIC WY,Tempe,Standard,-111.96962623909401,33.4176854509532, , , 
416,1165,-111.96958702915,33.4132630253161,7816.0,52ND ST & 14TH ST,Tempe,Standard,-111.96958702915,33.4132630253161, , , 
417,1166,-111.969587810404,33.411329916217696,8912.0,52ND ST & 16TH ST,Tempe,Standard,-111.969587810404,33.411329916217696, , , 
418,1167,-111.97772765150299,33.378033490757396,1012.0,BASELINE RD & 48TH ST,Tempe,Standard,-111.97772765150299,33.378033490757396, , , 
419,1168,-111.97232749275601,33.3780601649048,7681.0,BASELINE RD & ARIZONA GRAND PKWY,Tempe,Standard,-111.97232749275601,33.3780601649048, , , 
420,1169,-111.96288583812999,33.3788389989016,3503.0,PRIEST DR & BASELINE RD,Tempe,Standard,-111.96288583812999,33.3788389989016, , , 
421,1170,-111.96113731843,33.3840662699817,5236.0,PRIEST DR & AZ MILLS EAST,Tempe,Standard,-111.96113731843,33.3840662699817, , , 
422,1171,-111.961228737663,33.38083745053269,3495.0,PRIEST DR & DARROW DR,Tempe,Standard,-111.961228737663,33.38083745053269, , , 
423,1172,-111.962039575478,33.3804059085831,5231.0,PRIEST DR & DARROW DR,Tempe,Standard,-111.962039575478,33.3804059085831, , , 
424,1173,-111.96386370586201,33.3784640398855,6288.0,BASELINE RD & PRIEST DR,Tempe,Standard,-111.96386370586201,33.3784640398855, , , 
425,1174,-111.970103220898,33.3784035440994,8910.0,BASELINE RD & WENDLER DR,Tempe,Standard,-111.970103220898,33.3784035440994, , , 
426,1175,-111.97236643382799,33.3784008467485,6287.0,BASELINE RD & ARIZONA GRAND PKWY,Tempe,Standard,-111.97236643382799,33.3784008467485, , , 
427,1176,-111.97561934119499,33.3783715248576,7679.0,BASELINE RD & CALLE LOS CERROS,Tempe,Standard,-111.97561934119499,33.3783715248576, , , 
428,1177,-111.97823101784701,33.378846457478105,4936.0,48TH ST & BASELINE RD,Phoenix,Standard,-111.97823101784701,33.378846457478105, , , 
429,1178,-111.978226407247,33.3821735697367,5246.0,48TH ST & MINTON DR,Phoenix,Standard,-111.978226407247,33.3821735697367, , , 
430,1179,-111.97822844182,33.3859208444934,3233.0,48TH ST & VINEYARD RD,Phoenix,Standard,-111.97822844182,33.3859208444934, , , 
431,1180,-111.978234442471,33.389354427076896,3224.0,48TH ST & ALTA VISTA RD,Phoenix,Standard,-111.978234442471,33.389354427076896, , , 
432,1181,-111.978157216769,33.3931251334561,3237.0,48TH ST & SOUTHERN AVE,Tempe,Standard,-111.978157216769,33.3931251334561, , , 
433,1182,-111.978190574253,33.3967738743155,3236.0,48TH ST & FAIRMONT DR,Tempe,Standard,-111.978190574253,33.3967738743155, , , 
434,1183,-111.97812380659,33.400340532293804,3235.0,48TH ST & ALAMEDA DR,Tempe,Standard,-111.97812380659,33.400340532293804, , , 
435,1184,-111.978123254213,33.4033796632005,8909.0,48TH ST NS WESTCOURT WY,Tempe,Standard,-111.978123254213,33.4033796632005, , , 
436,1185,-111.977504851844,33.407190435218396,1088.0,BROADWAY RD & 48TH ST,Tempe,Standard,-111.977504851844,33.407190435218396, , , 
437,1186,-111.96939754076,33.411796497313105,8914.0,52ND ST & 16TH ST,Tempe,Standard,-111.96939754076,33.411796497313105, , , 
438,1187,-111.96939110249,33.4138338523114,7814.0,52ND ST & 14TH ST,Tempe,Standard,-111.96939110249,33.4138338523114, , , 
439,1188,-111.969425040478,33.4179789266961,3247.0,52ND ST & 10TH PL,Tempe,Standard,-111.969425040478,33.4179789266961, , , 
440,1189,-111.969539613227,33.4266441881151,8913.0,52ND ST & 4TH ST,Tempe,Standard,-111.969539613227,33.4266441881151, , , 
441,1190,-111.96939183058599,33.4303360633186,8915.0,RIO SALADO PKWY NS 1894 WEST,Tempe,Standard,-111.96939183058599,33.4303360633186, , , 
442,1191,-111.9615085981,33.4292751324593,8917.0,RIO SALADO PKWY & PRIEST DR,Tempe,Standard,-111.9615085981,33.4292751324593, , , 
443,1192,-111.951616234978,33.430897001374504,8919.0,RIO SALADO PKWY & HARDY DR,Tempe,Standard,-111.951616234978,33.430897001374504, , , 
444,1193,-111.94680834794599,33.4308514870083,9566.0,RIO SALADO PKWY & LAKESIDE DR,Tempe,Standard,-111.94680834794599,33.4308514870083, , , 
445,1194,-111.942720783794,33.4289049236602,5021.0,ASH AVE & RIO SALADO PKWY,Tempe,Standard,-111.942720783794,33.4289049236602, , , 
