JANUARY 2020 MONTHLY RIDERSHIP REPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SERVICE,ROUTE,CITY,Avg Full Fare,Avg Exp Fare,Avg Reduced Fare,Avg Full Fare Pass,Avg Reduced Pass,Avg Monthly Pass,Avg Free,Avg Bikes,Avg W/C, Avg Daily Boardings, Total Boardings ,Daily Revenue Miles,Total Rev. Miles,Boardings Per Rev Mile,1/19 - Avg Daily,% Difference,,,,,,,,,,,,,,,,,,,,,,
SU,0,Phx,59,0,45,327,773,65,48,39,12,"1,317","6,583","1,193.3","5,966.4",1.1," 1,404 ",-6.2%,,,,,,,,,,,,,,,,,,,,,,
SU,1,Phx†,8,0,5,82,164,16,16,10,2,291,"1,457",510.3,"2,551.5",0.6, 182 ,59.9%,,,,,,,,,,,,,,,,,,,,,,
SU,1,Tem,1,0,1,6,16,1,1,0,0,26,128,26.1,130.5,1.0, *November 2020 ,*November 2020,,,,,,,,,,,,,,,,,,,,,,
SU,3,Phx,76,0,55,540,"1,045",88,59,46,9,"1,863","9,308","1,236.1","6,180.5",1.5," 2,184 ",-14.7%,,,,,,,,,,,,,,,,,,,,,,
SU,3,Tol,4,0,1,18,26,5,3,2,0,57,283,37.1,185.5,1.5, *November 2020 ,*November 2020,,,,,,,,,,,,,,,,,,,,,,
SU,7,Phx,60,0,55,439,775,79,41,50,17,"1,449","7,245","2,036.0","10,180.0",0.7," 1,566 ",-7.5%,,,,,,,,,,,,,,,,,,,,,,
SU,8,Phx,29,0,25,210,447,49,25,23,6,785,"3,929","1,213.2","6,066.0",0.6, 933 ,-15.9%,,,,,,,,,,,,,,,,,,,,,,
SU,10,Phx†,5,0,1,29,73,10,7,3,0,125,624,303.3,"1,516.6",0.4, 281 ,-55.5%,,,,,,,,,,,,,,,,,,,,,,
SU,12,Phx,28,0,20,144,263,35,31,18,3,521,"2,603",811.6,"4,058.0",0.6, 493 ,5.7%,,,,,,,,,,,,,,,,,,,,,,
SU,13,Phx,33,0,25,159,307,59,19,18,6,602,"3,003",900.4,"4,502.0",0.7, 507 ,18.7%,,,,,,,,,,,,,,,,,,,,,,
SU,15,Phx,19,0,16,115,232,18,11,9,5,411,"2,051",478.7,"2,393.5",0.9, 415 ,-1.0%,,,,,,,,,,,,,,,,,,,,,,
