X,Y,OBJECTID,StopID,NextRide,Location,Juris,Shelter,Bench,TrashCan,BusBay,BikeRack,WaterFountain,PublicArt,ADA,Bathroom,Lighting,Em_Call,Info_Display,Type_,DateUpdated,Sidewalk,Photo,ATIS_ID,Direction,Long,Lat,Routes
-111.7885395,33.40744936,87,5091,16268,GILBERT RD & BROADWAY RD,Mesa,1,2,1,Yes,0,No,No,Yes,No,No,No,No,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7446/16311749287_ab9c3d8fe5_o.jpg,5105,Southbound,-111.7885395,33.40744936,136
-111.6845462,33.39434669,93,3481,12584,POWER RD & SOUTHERN AVE,Mesa,1,2,1,No,2,No,No,Yes,No,No,No,Yes,Standard,1.54115E+12,Yes,https://farm9.staticflickr.com/8696/16761457279_b6707da817_o.jpg,3495,Northbound,-111.6845462,33.39434669,40 | 45 | 184
-111.8049374,33.44452899,94,3106,16102,STAPLEY DR & MCLELLAN RD,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7386/16311384639_158aebb689_o.jpg,3120,Northbound,-111.8049374,33.44452899,128
-111.684337,33.41650265,95,3031,12129,POWER RD & MAIN ST,Mesa,0,0,0,No,0,No,No,Yes,No,No,No,No,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7423/16311410109_9e4cac3619_o.jpg,3045,Northbound,-111.684337,33.41650265,30 | 184
-111.6869534,33.33658404,96,8878,16735,Power Rd & Warner Rd,Mesa,0,0,0,Yes,0,No,No,No,No,No,No,No,Standard,1.54115E+12,,https://farm8.staticflickr.com/7330/16311392039_81119234a2_o.jpg,11292,Northbound,-111.6869534,33.33658404,184
-111.7881596,33.39020318,97,3363,16197,GILBERT RD & HAMPTON AVE,Mesa,0,0,1,No,0,No,No,No,No,No,No,No,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7428/16311754937_871ca61f69_o.jpg,3377,Northbound,-111.7881596,33.39020318,136
-111.7880168,33.4196298,99,2898,16205,MAIN ST & UNIVERSITY DR,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1.54115E+12,Yes,https://farm9.staticflickr.com/8613/16471686496_731e49ba79_o.jpg,2912,Northbound,-111.7880168,33.4196298,136
-111.7878539,33.4510782,101,4608,16239,GILBERT RD & MCKELLIPS RD,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1.54115E+12,Yes,https://farm9.staticflickr.com/8644/16311728227_9fee1c3325_o.jpg,4622,Southbound,-111.7878539,33.4510782,136
-111.6845023,33.39940522,102,3474,12585,POWER RD & VIA ROSSMOOR BLVD,Mesa,1,1,1,No,2,No,No,Yes,No,No,No,Yes,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7285/16495944741_12a42f7ca7_o.jpg,3488,Northbound,-111.6845023,33.39940522,40 | 45 | 184
-111.6847615,33.4081162,105,5216,12577,POWER RD & BROADWAY RD,Mesa,0,1,1,No,0,No,No,Yes,No,No,No,No,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7458/15875117224_4d72da8b96_o.jpg,5230,Southbound,-111.6847615,33.4081162,40 | 45 | 184
